comment,stance,reason,explanation
＜費用が高額＞＜操作できない＞…高市内閣が推進「電子カルテの義務化」で地方診療所が廃業危機に | 女性自身,oppose,leadership,電子カルテ義務化への対応失敗と地方医療崩壊を批判
,,,
ガチ詳しい人に聞きたいんだけど、高市が総理になることで地方の中小サッシ製造会社の仕事減る？潰れる？,neutral,neutral,企業業態と政権交代の因果関係を表明せず
これも問題の根本は少子高齢化だからな。,neutral,other_reason,政治家名の記述なし
うちの職場いまだに印鑑使ってるわ,neutral,other_reason,個人の職場状況の陳述で、立場表明なし
"不正診断ができなくなるのかな
無駄に保険料を搾取する医者は
潰れてもいいよwww",oppose,leadership,医師全体を批判し、政府政策に反発
>>1 物価高市！m9(^Д^)プギャーｗｗｗ 日銀利上げしろカス,oppose,leadership,高市氏を物価高で批判し、リーダーとして不適切と暗示
＞＜,neutral,none,単なる記号で意見なし
,,,
だから保険料だけぶんどって地方医療崩壊させたいんだろ,oppose,leadership,高市氏の政策で地方医療が壊れると言及
遅いか早いかだけでどうせ潰れるだろ,oppose,leadership,高市内閣の計画に不信感を示し、指導力の欠如を批判
"10年以上言われてきたことやろ
潔く潰れてくれ",oppose,other_reason,民主主義の失敗を皮肉っている
なんでもいいから高市潰しw,oppose,other_reason,高市氏に対する直接的な的外れな攻撃
どうせ共産党系の赤い医者だろw,oppose,political_ideology,政治的イデオロギーに関する否定的表現
,,,
都市部の柔整は対応早いね 田舎の医療より都民のQOL,neutral,neutral,立場表明がなく事実叙述
"医師の高齢化が理由で電子カルテ導入できないとか言ってるところは
後何年かしたらその高齢の医師は引退するんだけど
数年先のことも考えられないのかな？",oppose,leadership,先を見通せない人材を批判する
"デジタル大臣は松本 尚を起用
元外科医
高市総理の意気込みが感じられる",support,leadership,高市氏の決意を感じ取り肯定
今でもカルテをドイツ語の手書きしてる医師ってどれくらいいるんだろ,neutral,none,単なる疑問で立場表明なし
,,,
"操作できないは
覚える気がない",oppose,leadership,地方医師の指導力不足と姿勢を批判
"いまだに紙カルテを使ってるほうが不思議
パソコンすら使いこなせない医療施設で最新の治療なんか受けられ無いだろう
怪我したら赤チン塗られそう",oppose,leadership,医療現場の未整備を批判し、対応力不足を指摘
費用はともかくその程度操作できないならもう引退した方がいい,oppose,leadership,医師のIT能力不足を指摘し、資質への否定
黙ってやれ,neutral,other_reason,命令調の単文で立場不明
"いいぞ高市！
日本人をもっと懲らしめろ！！",support,leadership,高市氏を称賛し、強い指導力を期待
藪医者は潰れてよしと言うか潰すべし。,oppose,political_ideology,地域医療崩壊を正当化し、高市内閣を批判
別に高市内閣の前から推進してたのにな。,neutral,other_reason,立場表明なく、事実叙述のみ
安いシステム開発を政府が後押しすりゃいいだけのことだ ボッタクリ価格放置してるからこうなる,oppose,leadership,高市内閣の政策対応を批判している
">>15
田舎の診療所なんて医者が後期高齢者なんてのざら",neutral,other_reason,中央の医療政策批判に関する現状記述
,,,
費用が高市,oppose,leadership,高市を批判する文脈で費用問題を指摘
バカ市政権のパフォーマンス政策ばっかりで日本はボロボロ,oppose,leadership,政権をバカと批判し、指導力に疑問を呈
">>23
だからそういう話だよ。",neutral,other_reason,指摘した氏への指示で、立場表明なし
コロナワクチンがスパイクタンパク質を体内で製造するのは、無限に続くのでしょうか？」「わかりません。　今は人体実験の途中なのです」「スパイクタンパク質(プリオン)は、脳細胞を直接破壊するのでしょうか？」「わかりません。　今は人体実験の途中なのです」「コロナワクチンを接種した人たちの「回数とロット」だけではなく、「個人情報」(とくに病歴と死因)がすべてファイザーモデルナに届けられなければいけないのは、なぜでしょうか？」「マイナンバーカードを作成しちゃった人たちにとっては当たり前です。　今は人体実験の途中なのです」「河野太郎と「はじめしゃちょー」のユーチューブを信じて、コロナワクチンを接種しちゃった人たちの、知能レベルはどれくらいでしょうか？」「偏差値で言えば４０以下くらい、IQで言えば８５以下くらいでしょう」「自ら望んでコロナワクチンを接種しちゃった人たちは、「mRNAワクチン」と「不活化ワクチン」は、そもそも発想がまったく異なることを、なぜ知らないのでしょうか？」「偏差値で言えば４０以下くらい、IQで言えば８５以下くらいだからでしょう」「そう言えば、キャッシュレスとしては「クレジットカード」は、そもそも元々むかしから存在していましたが、それと「電子マネー」「QRコード」が同じ物だと信じている人たちが多いですね」「偏差値で言えば４０以下くらい、IQで言えば８５以下くらいの人たちが８割以上の世の中です」「コロナワクチン、PayPay、マイナン　バーカ　ード、新ＮＩＳＡ、備蓄米。　パターンがまったく同じだと気が付きました。　ありがとう！,neutral,other_reason,記事内容や高市内閣への言及なし
いまだに紙カルテとか時代遅れもええとこ,oppose,other_reason,高市内閣の政策を批判し、義務化に反対する内容
議員もデジタル化嫌がってるジジイ多いしな,oppose,leadership,高市氏率いる政治家の未熟さを指摘
そうだね、後期高齢者だと使いこなせない可能性はある、自分で診療所開設して30年以上なんてザラにいるだろうからこういう医師たちが今だに手書きなのだろう,oppose,leadership,高市内閣の施策に問題ありとし、世代の差への配慮不足を批判
高市は紙の詰まるFAXと格闘😂,oppose,leadership,高市氏のデジタル化対応能力への皮肉
少子高齢化で人口減少していく日本ではIT化で行政コストを削減していかなければいけない。IT化にマイナシステムは必須で、お年寄りが使えないとか導入コストがかるだとか現在の利用率だとかは関係ない。逆に紙の申請を少しでも残すとIT化の意味がなくなり害でしかない。>>1,oppose,other_reason,高市内閣推進政策への順応を強調し批判の余地を持たず
てか導入始まって30年経つのにまだかよ,neutral,neutral,支持/反対の主張なく、事実叙述のみ
,,,
また無能な働き者が経済壊してんのか,oppose,other_reason,無能な働き者の批判が対象
どの株買えばいい？富士通？,neutral,other_reason,株式購入相談で立場表明なし
,,,
無理矢理デジタル化して前より不便になる典型的な「デジタル馬鹿政策」,oppose,other_reason,デジタル馬鹿政策と批判し、高市内閣の政策を否定
"高齢で電子カルテに対応できないなら
どうせ高齢で廃業することになるんだから誤差",neutral,other_reason,高市氏批判・支援ではなく、事実的見解
知人の医療関係者が勤めてる病院の長が頑固で紙にカルテ書いてるって10年くらい前言ってた、そこから2回転職してた,neutral,neutral,高市氏への立場表明なし
よっしゃ買い込んだる,oppose,other_reason,高市氏を批判する意図で「買い込み」と冗談を言っている
"電子カルテぐらい対応しろよ。
kindle操作出来ないから紙の本しか読まねーレベルの話だぞ。50以上の老害医者だろうけど",oppose,leadership,高齢医師への寛容こそが立場批判
電子カルテ100%を目指してるのは政府なんだから、予算は政府が100%出さなきゃ筋が通らんだろ,oppose,other_reason,高市内閣の政策への反対・非難
NTT株まだ150円台だったんだ、200円越えてるかと思ってた,neutral,other_reason,株価に関する個人の認識話で立場表明なし
操作できないって相当高齢な医者だろ,neutral,none,立場表明無し。事実叙述専門
電子カルテのデータは互換性があるの？,neutral,none,中立的な質問で立場なし
,,,
"電子カルテとマイナンバーカードで
かなり保険証の不正貸し借りを
摘発できそうだな
医療費の不正利用を抑えられそうだ",support,other_reason,新システム導入による利点強調
利権構造をぶち壊せないエセ改革,oppose,political_ideology,高市内閣への政治的思想批判
,,,
医者にかかれない時代の到来か,oppose,leadership,制度推進による医療危機を批判
