threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,threadview_response_body_link (2),js-ng-setting href,js-response href
"垢版
|
0001 ばーど ★ 2025/11/22(土) 08:31:13.15","立憲民主党の小西洋之参院議員が22日までに自身のX（旧ツイッター）を更新。高市早苗首相の台湾有事をめぐる発言による影響について自身の見解を述べた。

　小西氏は高市発言余波をめぐっての影響を次々とポスト。日本商工会議所の小林会頭は20日の会見で政府の発信に慎重な対応を求めたことを伝えた記事を引用。「高市リスクに真剣に対処しないと日本は大変なことになります」と1文で指摘した。

　続いて「『売りが売り呼ぶ』円安?債券安進行　株価上昇も『高市リスク』強く」と題した記事を引用した上で「高市政権になって日本の国力評価はがた落ちで、高市インフレによって国民生活は厳しくなる一方ではないか」と投げかけた。

　そして「要するに、高市総理がとんでもない安全保障オンチでああり、外交オンチであるのだけど、それが国民の皆さんには伝わっていないのだろうか。。」（原文まま）とつづった。

　最後のポストは21日の午後3時の投稿から12時間に5000件超のコメントが寄せられている。

　高市早苗首相は7日の衆院予算委員会で、台湾有事が集団的自衛権行使の対象となる「存立危機事態になり得る」と答弁。これに対し、中国の薛剣（せつけん）駐大阪総領事がXで「その汚い首は一瞬の躊躇（ちゅうちょ）もなく斬ってやるしかない」などと投稿（現在は削除）したとして、木原稔官房長官が、中国に抗議したことを明らかにしている。一方、中国も外務省などを通じ高市首相の発言について反発するなど、波紋が広がっている。

11/22(土) 8:12 日刊スポーツ
https://news.yahoo.c...75e6e6fc00374a79513a",https://news.yahoo.co.jp/articles/99729d07259da3476bda75e6e6fc00374a79513a,https://news.yahoo.c...75e6e6fc00374a79513a,30,ID:W1yqJtFj,,,,
"垢版
|
0002 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:31:35.69",だからゴキブリは早く死ねよ,,,,ID:/WNvYDme(1/6),,,,
"垢版
|
0003 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:31:41.98",都合が悪いんだろうなw,,,,ID:4ZMrgi9x,,,,
"垢版
|
0004 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:33:21.18",">>1
劣勢のパヨパヨさんたちが励ましのお便りと熱烈賛同してるわけね？わかります",,>>1,,ID:yuajKHLi(1/16),,,,
"垢版
|
0005 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:34:03.50",また炎上商法？無能,,,,ID:1ojE/fzx,,,,
"垢版
|
0006 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:34:18.53",ハニトラかな？,,,,ID:LHWP7z+s,,,,
"垢版
|
0007 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:34:21.50","小
西

お里が知れますね（笑）",,,,ID:b2IZZ+7g,1,,,
"垢版
|
0008 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:34:42.40",あのコニたんにも言われてしまったなｗｗネトウヨｗｗｗ,,,,ID:cAuH/XK5,2,,,
"垢版
|
0009 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:35:18.78",">>1
物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",,>>1,,ID:UiEONKVb,,,,
"垢版
|
0010 <丶｀??>（??ω?｀）（｀ハ?　 ）さん 2025/11/22(土) 08:35:55.14",自称憲法学者でクイズ王の政治オンチw,,,,ID:lt1qw0Kh,1,,,
