threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,threadview_response_body_link href (2),threadview_response_body_link (2),res_id,js-response,js-ng-setting href,js-response href
"垢版
|
0001 ぐれ ★ 2025/11/22(土) 20:17:57.12","※11/22(土) 6:25
日刊スポーツ

立憲民主党の小西洋之参院議員が22日までに自身のX（旧ツイッター）を更新。高市早苗首相の台湾有事をめぐる発言による影響について自身の見解を述べた。

小西氏は高市発言余波をめぐっての影響を次々とポスト。日本商工会議所の小林会頭は20日の会見で政府の発信に慎重な対応を求めたことを伝えた記事を引用。「高市リスクに真剣に対処しないと日本は大変なことになります」と1文で指摘した。

続いて「『売りが売り呼ぶ』円安・債券安進行　株価上昇も『高市リスク』強く」と題した記事を引用した上で「高市政権になって日本の国力評価はがた落ちで、高市インフレによって国民生活は厳しくなる一方ではないか」と投げかけた。

そして「要するに、高市総理がとんでもない安全保障オンチでああり、外交オンチであるのだけど、それが国民の皆さんには伝わっていないのだろうか。。」（原文まま）とつづった。

続きは↓
立民議員の「高市総理がとんでもない安全保障オンチで外交オンチ」Ｘ投稿にコメント5000件超 https://topics.smt.d...1122-202511220000061
※前スレ
【高市リスク】立民・小西洋之参院議員「高市総理がとんでもない安全保障オンチで外交オンチ」 [ぐれ★]
https://asahi.5ch.ne...newsplus/1763761778/

1 ぐれ ★ 2025/11/22(土) 06:49:38.97",https://topics.smt.docomo.ne.jp/article/nikkansports/nation/f-so-tp0-251122-202511220000061,https://topics.smt.d...1122-202511220000061,https://asahi.5ch.net/test/read.cgi/newsplus/1763761778/,https://asahi.5ch.ne...newsplus/1763761778/,ID:8SVieDjl9,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/22(土) 20:18:39.06",うさ,,,,,ID:P3dZ32QS0,1,,
"垢版
|
0003 名無しどんぶらこ 2025/11/22(土) 20:18:55.55",おまいう,,,,,ID:So2cMbgR0,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/22(土) 20:18:57.55",事実陳列罪てやつ？,,,,,ID:WTk09GeL0(1/2),,,
"垢版
|
0005 名無しどんぶらこ 2025/11/22(土) 20:19:11.58",中華は全く悪くないニダなｗ　中華が怒るのは当たり前ニダなｗ　悪いのは高市ニダなｗ,,,,,ID:LLVMgDhy0,1,,
"垢版
|
0006 名無しどんぶらこ 2025/11/22(土) 20:19:24.09","ガチ詳しい人に聞きたいんだけど、
北斗の拳に例えると今どの辺？",,,,,ID:lpYzSMuf0,3,,
"垢版
|
0007 名無しどんぶらこ 2025/11/22(土) 20:19:37.70",人間音痴小西,,,,,ID:v4XCEM9Z0,,,
"垢版
|
0008 名無しどんぶらこ 2025/11/22(土) 20:19:58.80",外務大臣とかやっとくべきだった,,,,,ID:6S0cd1/F0,1,,
"垢版
|
0009 名無しどんぶらこ 2025/11/22(土) 20:19:59.37",ホリエモンに論破されてたやつ？,,,,,ID:5dzCDgqM0,,,
"垢版
|
0010 名無しどんぶらこ 2025/11/22(土) 20:20:02.35",票田からの苦情,,,,,ID:mbfEbAqa0(1/3),,,
"垢版
|
0011 名無しどんぶらこ 2025/11/22(土) 20:20:02.59",アタマネトウヨだから仕方ないの,,,,,ID:ZMfJeV2k0,1,,
"垢版
|
0012 名無しどんぶらこ 2025/11/22(土) 20:20:05.57",この人政治家云々以前にその辺にいたら普通に社会不適合者だよね,,,,,ID:16p6FlNn0,1,,
"垢版
|
0013 名無しどんぶらこ 2025/11/22(土) 20:20:15.04","立憲は何言ってもネトウヨには響きません
ざまあ",,,,,ID:0JVfVUFu0,,,
"垢版
|
0014 名無しどんぶらこ 2025/11/22(土) 20:20:29.09",">>1
物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",,>>1,,,ID:uPIZdt7/0(1/2),,,
"垢版
|
0015 名無しどんぶらこ 2025/11/22(土) 20:20:33.92",立憲の支持者ってどんな人なんだろう,,,,,ID:pDj+yc0F0,2,,
"垢版
|
0016 名無しどんぶらこ 2025/11/22(土) 20:21:02.21",これが立憲のレベル・・・,,,,,ID:g3jOspHm0(1/2),,,
"垢版
|
0017 名無しどんぶらこ 2025/11/22(土) 20:21:04.82",小西と米山はいつもニヤケ顔してるよな,,,,,ID:gGCE719j0,,,
"垢版
|
0018 名無しどんぶらこ 2025/11/22(土) 20:21:14.47",自分は政治オンチ？,,,,,ID:r3Cw/XDC0,,,
"垢版
|
0019 名無しどんぶらこ 2025/11/22(土) 20:21:17.08","一ヶ月で成し遂げたこと

トランプの横ではしゃぐ世界中の恥
中国との関係悪化
円安
お米券3000円
マウント取れる洋服選び",,,,,ID:YoF4d71i0(1/2),1,,
