threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,res_id,js-response,js-ng-setting href,js-response href,threadview_response_body_link (2),threadview_response_body_link href (2),threadview_response_body_link (3),threadview_response_body_embedlink href,threadview_response_body_thumbnail src
"垢版
|
0001 ぐれ ★ 2025/11/23(日) 15:54:29.74","※11/23(日) 15:33配信
スポニチアネックス
石破茂氏

　石破茂前首相（68）が23日、ABEMA「ABEMA的ニュースショー」（日曜正午）に生出演し、台湾有事を巡る高市早苗首相の発言で緊張感が走る日中関係について考えを示した。

　高市氏が国会で「台湾有事は存立危機事態になり得る」などと答弁したことから、中国政府が猛反発。日本への渡航自粛、日本への留学の慎重な検討を呼びかけた。さらに、日本の水産物の輸入を事実上、停止するとも発表。これも日本側への対抗措置との見方が強い。こうした中国側の動きにも、高市氏は「政府の立場は一貫している」とし、発言の修正、撤回はしていない。

　72年に当時の田中角栄首相が中国を訪れ、日中国交正常化を実現した。石破氏は「その時からもずっと、歴代政権は注意しながら、注意しながら、注意しながら日中関係をマネジメントしてきた」と、日中関係のバランス取りの難しさを説明。「言いたいこと、感情的に思いが高まることはあるけど、みんな本当に細心の注意を払いながらやってきた。それほど日中関係って微妙なものだし、日本政府がどういう立場を取ってきたかということが基本にある」とも述べた。

続きは↓
https://news.yahoo.c...e58d63c71cd9d63df7f2",https://news.yahoo.co.jp/articles/ec60b5590b2fee3a6adde58d63c71cd9d63df7f2,https://news.yahoo.c...e58d63c71cd9d63df7f2,ID:eKyZCxmh9,,,,,,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/23(日) 15:55:12.21","美ヶ原高原美術館、アモーレの鐘が2をお知らせします

(∪^ω^)　🔔彡ﾘﾝｺﾞｰﾝﾘﾝｺﾞｰﾝ♪",,,ID:SGNSDped0,,,,,,,,
"垢版
|
0003 名無しどんぶらこ 2025/11/23(日) 15:55:12.80",ゲルw,,,ID:QzvHW8Nz0,,,,,,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/23(日) 15:55:36.95",朝日に言うたって,,,ID:CXAWpRdy0,,,,,,,,
"垢版
|
0005 名無しどんぶらこ 2025/11/23(日) 15:55:40.18",馬鹿「ヤトウガワルイ」,,,ID:FctLXqNA0,,,,,,,,
"垢版
|
0006 名無しどんぶらこ 2025/11/23(日) 15:55:43.04",誰でしたっけ?,,,ID:QwxQv2Qz0,,,,,,,,
"垢版
|
0007 名無しどんぶらこ 2025/11/23(日) 15:56:09.83",後から攻撃できるいつものポジションにもどって生き生きしてるな,,,ID:0HfLf9a+0,1,,,,,,,
"垢版
|
0008 名無しどんぶらこ 2025/11/23(日) 15:56:21.08",今となっては石破に負けたのがよく分かる,,,ID:eLVCMV7Y0,1,,,,,,,
"垢版
|
0009 名無しどんぶらこ 2025/11/23(日) 15:56:22.86",女は感情で生きている,,,ID:x3usq3gB0,1,,,,,,,
"垢版
|
0010 名無しどんぶらこ 2025/11/23(日) 15:56:29.09",隠さなくなったなｗ,,,ID:GoM6cSTw0,,,,,,,,
"垢版
|
0011 名無しどんぶらこ 2025/11/23(日) 15:56:42.16",国民に無神経だった人が何言ってんですかね？,,,ID:N4nykHNi0,,,,,,,,
"垢版
|
0012 名無しどんぶらこ 2025/11/23(日) 15:56:52.05","東スポ

高市早苗首相の台湾有事を巡る発言を契機に日中関係が冷え込む中、中国から日本への旅行客にキャンセルが相次ぎ、インバウンド需要に沸いていた観光地にも打撃が徐々に広まっている。


　
ひろゆき氏　高市首相の台湾有事発言「日本が得たものあまりない。経済的なマイナスは明確に存在」
　
保守しぐさ議員はマジ浅はか、無能、無責任、人のせいばっか

つまり幼稚
　
さっさと辞任しろコメ高主導もお前が犯人だとバレた高市",,,ID:VJoEQnpM0,1,,,,,,,
"垢版
|
0013 名無しどんぶらこ 2025/11/23(日) 15:56:58.71",立憲民主党の政治家かと思うようなやつだ,,,ID:59gBPGQP0,,,,,,,,
"垢版
|
0014 名無しどんぶらこ 2025/11/23(日) 15:57:04.00",そんなに神経使わなきゃならないなら、いっそ断ち切ってしまえ。,,,ID:iJjEMT7X0,,,,,,,,
"垢版
|
0015 名無しどんぶらこ 2025/11/23(日) 15:57:09.23","そんな配慮するからつけあがるんだろ
高市くらいが丁度いいんだわ",,,ID:qJJ1mRp70,1,,,,,,,
"垢版
|
0016 名無しどんぶらこ 2025/11/23(日) 15:57:20.00",舐めてもらっては困るﾄﾞﾔw,,,ID:PX/8Gbzx0,,,,,,,,
"垢版
|
0017 名無しどんぶらこ 2025/11/23(日) 15:57:33.80",食べ方汚いやつは黙ってろ,,,ID:QGv2ygAD0,,,,,,,,
