threadview_response_info,inline-form2 href,inline-form2,inline-form2 (2),notranslate,threadview_response_body,notranslate (2),notranslate (3),notranslate (4),notranslate (5),notranslate (6),threadview_response_body_link href,threadview_response_body_link,threadview_response_body_link href (2),threadview_response_body_link (2),notranslate (7),notranslate (8),threadview_response_body_link href (3),threadview_response_body_link (3),notranslate (9),notranslate (10),notranslate (11),res_id href,res_id,notranslate (12),js-response,notranslate (14),notranslate (15),js-ng-setting href,js-response href,threadview_response_body_embedlink href,threadview_response_body_thumbnail src
"垢版
|
0001 １ゲットロボ ★ 2025/11/23(日) 19:06:08.78
0001 1 Get Robo ★ 2025/11/23（周日）19：06：08.78",https://donguri.5ch.net/,垢版,|,0001 1 Get Robo ★ 2025/11/23（周日）19：06：08.78,"【北京時事】中国の王毅共産党政治局員兼外相は22日、訪問先のタジキスタンでの外相会合で「日本軍国主義の復活を決して許さない」などと名指しで日本を批判した。
22日，中国共产党政治局委员兼中国外交部长王毅在访问塔吉克斯坦的外长会议上点名批评日本，称“我们绝不会允许日本军国主义的复兴”。

中国外務省が発表した。    中国外交部宣布。

　高市早苗首相の台湾有事を巡る発言後、王氏が公の場で日本について語ったのは初とみられる。
继高市早苗首相就台湾紧急状态发表言论后，这似乎是王王首次公开谈论日本。
タジキスタンのムフリッディン外相らとの会議で、両国関係の発展に向けた「相互支持」の重要性を強調。習近平政権が「核心的利益の中の核心」と位置付ける台湾問題における中国の立場に言及した。
在与塔吉克斯坦外交部长穆赫里丁等人的会面中，他强调了“相互支持”对两国关系发展的重要性。 他提到了中国在台湾问题上的立场，习近平政府将其视为“其核心利益的核心”。

　王氏はその上で「日本の右翼勢力による歴史の逆行や、外部勢力が中国の台湾に手出しすること、日本軍国主義の復活を決して許さない」と語った。ムフリッディン氏は、台湾問題における「中国の厳正な立場」への支持を表明したという。　
王随后表示：“我们绝不会允许日本右翼势力扭转历史，绝不会允许外部势力触及中国台湾，也绝不会允许日本军国主义的复兴。” 据称穆赫里丁表达了对“中国在台湾问题上”严格立场“的支持。

https://newsatcl-pct...-jij-000-20-view.jpg
https://news.yahoo.c...2c5de3d9628686b9d153

関連記事    相关文章
自衛隊階級名の変更「本音は旧日本軍化ではないか。ほとんどの欧米人は気づかないだろう。しかし漢字を使う中国人にはすぐ分かる」元文科事務次官・前川喜平氏
自卫队军衔名称的变更“前日本军队的真实意图不正是吗？”大多数西方人不会注意到。 不过，使用汉字的中国人可以轻松理解。“前文部科学技术副大臣前川喜平
https://www.nikkansp...202511200000063.html
欧州連合（EU）外務・安全保障政策上級代表    欧州连合（EU）外务・安全保障政策上级代表
「中国人民は第2次世界大戦中に国家を守り、戦争を終わらせるために多大な苦難に耐えた。第2次世界大戦のアジアの戦場における戦争終結80周年に際して、EUは中国人民の勇気に敬意を表する」
“中国人民在二战期间为保卫国家、结束战争经历了巨大艰难，在二战亚洲战场战争结束80周年之际，欧盟向中国人民的勇气致敬。”
https://japanese.cri...ARTI1763461638548379

前スレ　★1:2025/11/23(日) 17:36:54
上一帖 ★1：2025/11/23（周日）17：36：54
https://asahi.5ch.ne...newsplus/1763887014/",22日，中国共产党政治局委员兼中国外交部长王毅在访问塔吉克斯坦的外长会议上点名批评日本，称“我们绝不会允许日本军国主义的复兴”。,中国外交部宣布。,继高市早苗首相就台湾紧急状态发表言论后，这似乎是王王首次公开谈论日本。,在与塔吉克斯坦外交部长穆赫里丁等人的会面中，他强调了“相互支持”对两国关系发展的重要性。 他提到了中国在台湾问题上的立场，习近平政府将其视为“其核心利益的核心”。,王随后表示：“我们绝不会允许日本右翼势力扭转历史，绝不会允许外部势力触及中国台湾，也绝不会允许日本军国主义的复兴。” 据称穆赫里丁表达了对“中国在台湾问题上”严格立场“的支持。,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251123-00000028-jij-000-20-view.jpg,https://newsatcl-pct...-jij-000-20-view.jpg,https://news.yahoo.co.jp/articles/3aedb6254badc10fbc892c5de3d9628686b9d153,https://news.yahoo.c...2c5de3d9628686b9d153,相关文章,自卫队军衔名称的变更“前日本军队的真实意图不正是吗？”大多数西方人不会注意到。 不过，使用汉字的中国人可以轻松理解。“前文部科学技术副大臣前川喜平,https://www.nikkansports.com/general/column/jigokumimi/news/202511200000063.html,https://www.nikkansp...202511200000063.html,欧州连合（EU）外务・安全保障政策上级代表,“中国人民在二战期间为保卫国家、结束战争经历了巨大艰难，在二战亚洲战场战争结束80周年之际，欧盟向中国人民的勇气致敬。”,上一帖 ★1：2025/11/23（周日）17：36：54,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:la5XBMnW9  编号：la5XBMnW9,编号：la5XBMnW9,,,,,,,
,,,,发表评论,,,,,,,,,,,,,,,,,,,,,,,,,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/23(日) 19:06:29.78
0002 匿名 Donburako 2025/11/23（周日）19：06：29.78",https://donguri.5ch.net/,垢版,|,0002 匿名 Donburako 2025/11/23（周日）19：06：29.78,おまいう   奥迈,,奥迈,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:zmva26kx0  ID：zmva26kx0,ID：zmva26kx0,1,,,,,,
"垢版
|
0003 名無しどんぶらこ 2025/11/23(日) 19:06:48.70
0003 匿名 Donburako 2025/11/23（周日）19：06：48.70",https://donguri.5ch.net/,垢版,|,0003 匿名 Donburako 2025/11/23（周日）19：06：48.70,2なら在日中国人全員強制帰国   2. 所有居住在日本的华人被迫返回日本,,2. 所有居住在日本的华人被迫返回日本,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:A0IBPQUj0  编号：A0IBPQUj0,编号：A0IBPQUj0,,,,,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/23(日) 19:07:04.95
0004 匿名 Donburako 2025/11/23（周日）19：07：04.95",https://donguri.5ch.net/,垢版,|,0004 匿名 Donburako 2025/11/23（周日）19：07：04.95,いつまで経っても軍事軍事の国が周りにあるからな   无论需要多长时间，总会有军事国家存在,,无论需要多长时间，总会有军事国家存在,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:Eww565/f0  ID：Eww565/f0,ID：Eww565/f0,,,,,,,
"垢版
|
0005 名無しどんぶらこ 2025/11/23(日) 19:07:15.52
0005 匿名 Donburako 2025/11/23（周日）19：07：15.52",https://donguri.5ch.net/,垢版,|,0005 匿名 Donburako 2025/11/23（周日）19：07：15.52,と現在の軍国主義国家が   以及现今的军国主义国家,,以及现今的军国主义国家,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:+0EUcLYQ0  ID：+0EUcLYQ0,ID：+0EUcLYQ0,,,,,,,
"垢版
|
0006 名無しどんぶらこ 2025/11/23(日) 19:07:30.16
0006 匿名 Donburako 2025/11/23（周日）19：07：30.16",https://donguri.5ch.net/,垢版,|,0006 匿名 Donburako 2025/11/23（周日）19：07：30.16,"日本を焦土と化す    将日本变成焦土
高市早苗ならやりかねないね    高市早苗可能会做",,将日本变成焦土,,,,,,,,高市早苗可能会做,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:wqADchrV0  ID：wqADchrV0,ID：wqADchrV0,1,,,,,,
"垢版
|
0007 名無しどんぶらこ 2025/11/23(日) 19:07:40.49
0007 匿名 Donburako 2025/11/23（周日）19：07：40.49",https://donguri.5ch.net/,垢版,|,0007 匿名 Donburako 2025/11/23（周日）19：07：40.49,世界は中国の侵略行為を決して許さない   世界永远不会容忍中国的侵略,,世界永远不会容忍中国的侵略,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:uXdgd0MR0  编号：uXdgd0MR0,编号：uXdgd0MR0,,,,,,,
"垢版
|
0008 名無しどんぶらこ 2025/11/23(日) 19:07:58.63
0008 匿名 Donburako 2025/11/23（周日）19：07：58.63",https://donguri.5ch.net/,垢版,|,0008 匿名 Donburako 2025/11/23（周日）19：07：58.63,">>1
総領事がアカヒに騙されたんだろ    总领事被赤希欺骗了。",,总领事被赤希欺骗了。,,,,,>>1,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:vW5Kl8q10  ID：vW5Kl8q10,ID：vW5Kl8q10,1,,,,,,
"垢版
|
0009 名無しどんぶらこ 2025/11/23(日) 19:08:00.34
0009 匿名 Donburako 2025/11/23（周日）19：08：00.34",https://donguri.5ch.net/,垢版,|,0009 匿名 Donburako 2025/11/23（周日）19：08：00.34,大陸は平和主義だ   这个大陆是和平主义的,,这个大陆是和平主义的,,,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763892368#,ID:ER+Gd/uh0  ID：ER+Gd/uh0,ID：ER+Gd/uh0,,,,,,,
