threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,res_id,js-response,js-ng-setting href,js-response href
"垢版
|
0001 １ゲットロボ ★ 2025/11/23(日) 19:17:09.83","https://jp.news.cn/2...8542ea8312759/c.html

　【新華社ヤンゴン１１月２２日】ミャンマー国家安全保障平和委員会のゾーミントゥン報道官は２１日、日本の高市早苗首相による台湾に関する誤った発言についてメディアの質問を受け、ミャンマー政府は「一つの中国」政策を堅持すると改めて表明した。

　ゾーミントゥン氏は高市氏の発言に留意しているとした上で、ミャンマー政府の立場を次のように説明した。
ミャンマー政府は「一つの中国」政策を堅持する。ミンアウンフライン暫定大統領は中国首脳との会談でこの立場を重ねて明確に表明してきた。
中国とミャンマーは友好的な隣国であり、共同で全面的戦略協力パートナーシップと運命共同体の構築に取り組んでいる。
ミャンマー政府はこの関係を非常に重視し、大切にしている。
ミャンマーは一貫して平和共存５原則に従い、中国の主権と領土一体性を尊重しており、国家統一を守る中国の努力をこれまで通り支持していく。",https://jp.news.cn/20251122/66d121317d1547e6a0e8542ea8312759/c.html,https://jp.news.cn/2...8542ea8312759/c.html,ID:la5XBMnW9,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/23(日) 19:17:54.91","美ヶ原高原美術館、アモーレの鐘が2をお知らせします

(∪^ω^)　🔔彡ﾘﾝｺﾞｰﾝﾘﾝｺﾞｰﾝ♪",,,ID:VD6Ox2qf0,1,,
"垢版
|
0003 名無しどんぶらこ 2025/11/23(日) 19:17:56.09",スーチーの息子も中国に助け求めてたよな,,,ID:+VIrdUJo0,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/23(日) 19:18:03.89",弟よ？帝国陸軍の恩を忘れたんか,,,ID:zjT7eMO00,,,
"垢版
|
0005 名無しどんぶらこ 2025/11/23(日) 19:19:19.62",アフリカミャンマーロシアは中国派か,,,ID:nMFZjmwu0,2,,
"垢版
|
0006 名無しどんぶらこ 2025/11/23(日) 19:19:26.33",ミャンマーは草,,,ID:8dTJbR7m0(1/2),,,
"垢版
|
0007 名無しどんぶらこ 2025/11/23(日) 19:19:38.42",一つの中国,,,ID:r57llN+j0,,,
"垢版
|
0008 名無しどんぶらこ 2025/11/23(日) 19:19:46.31","ミャンマーって軍事政権のあれだろ？
スーチーならまだしもこれに褒められても…",,,ID:pSeGIOVS0,1,,
"垢版
|
0009 名無しどんぶらこ 2025/11/23(日) 19:19:59.06",ミャンマーはそういうしかないわな,,,ID:eMJtuf1b0,,,
"垢版
|
0010 名無しどんぶらこ 2025/11/23(日) 19:20:14.40",ビルマじゃないからな,,,ID:81A2Mylr0,,,
"垢版
|
0011 名無しどんぶらこ 2025/11/23(日) 19:20:35.47",子分で草,,,ID:OxHSUvS50,,,
"垢版
|
0012 名無しどんぶらこ 2025/11/23(日) 19:20:40.46",ミャンマーの空事,,,ID:oGcxiJJ10,,,
"垢版
|
0013 名無しどんぶらこ 2025/11/23(日) 19:21:10.74",はい、トカゲババアの負け,,,ID:XL6lvSYg0,,,
"垢版
|
0014 名無しどんぶらこ 2025/11/23(日) 19:21:35.53",">>8
中国の紐付き軍事政権だからなぁ",,>>8,ID:qE7N5gPL0,,,
"垢版
|
0015 名無しどんぶらこ 2025/11/23(日) 19:21:39.28",日本が持ったミャンマー利権、全ロストキタ,,,ID:2NFVAdwt0(1/2),,,
"垢版
|
0016 名無しどんぶらこ 2025/11/23(日) 19:21:42.93",ハシビロコウもびっくり,,,ID:kLBAxq200,,,
"垢版
|
0017 名無しどんぶらこ 2025/11/23(日) 19:21:51.82",">>5
アフリカは反中暴動起こりまくってるからもう駄目じゃね",,>>5,ID:8dTJbR7m0(2/2),2,,
"垢版
|
0018 名無しどんぶらこ 2025/11/23(日) 19:22:01.99",今だに天安門みたいな事やってる国だな。国民が可哀想,,,ID:oHlX/u470,,,
"垢版
|
0019 名無しどんぶらこ 2025/11/23(日) 19:23:13.03",">>1
物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",,>>1,ID:2yZtrUmh0,,,
"垢版
|
0020 名無しどんぶらこ 2025/11/23(日) 19:23:15.40",どーすんのこれ高市www,,,ID:D59B779q0(1/2),,,
"垢版
|
0021 名無しどんぶらこ 2025/11/23(日) 19:23:37.97","【悲報】高市首相、各国の首脳に媚びを売りまくるが相手にされずショックで食事会からトンズラwww
https://lavender.5ch.../uraidol/1763892936/",https://lavender.5ch.net/test/read.cgi/uraidol/1763892936/,https://lavender.5ch.../uraidol/1763892936/,ID:D59B779q0(2/2),2,,
"垢版
|
0022 名無しどんぶらこ 2025/11/23(日) 19:24:18.96",アジアに高市の味方なし…どーすんのこれ🫲🥺🫱,,,ID:qFDq7Kgb0,1,,
"垢版
|
0023 名無しどんぶらこ 2025/11/23(日) 19:24:45.70","ロシアへの非難だってジャップは世界中が賛同すると思い込んでたけど実際は世界の半分は「何それおいしいの？バーカｗ」だったしそんなもんだろ
ジャップとかいうバカはまーだ学習してねーのかよ",,,ID:MRVqVkXZ0,,,
"垢版
|
0024 名無しどんぶらこ 2025/11/23(日) 19:24:45.67",">>21
メローニ（抱きついてくんなよ……このババァ…）",,>>21,ID:2NFVAdwt0(2/2),,,
"垢版
|
0025 名無しどんぶらこ 2025/11/23(日) 19:24:52.70","いま世界でも有数の治安の悪い国になってるミャンマー
警察がもはや機能してないんよ",,,ID:1eN8e4Nv0,,,
"垢版
|
0026 通りすがりの一言主 2025/11/23(日) 19:25:22.68",">>1
もう日本に労働者送り込んでこなくていいぞｗ",,>>1,ID:jKLjG9qL0,,,
"垢版
|
0027 名無しどんぶらこ 2025/11/23(日) 19:25:52.87",日本の味方どこ？😭,,,ID:vL76RmLx0,,,
"垢版
|
0028 名無しどんぶらこ 2025/11/23(日) 19:25:53.22","高市って総裁選の話題が鹿で、「ひょっとして無能なのかな？」って嫌な予感がしたんだが、予感通りになってしまった
結局、高市は壺で日本を悪くするのが目的なんだろうな",,,ID:qmMBOyxf0(1/2),,,
"垢版
|
0029 名無しどんぶらこ 2025/11/23(日) 19:26:04.26",ミャンマーはそろそろ中国領になるのでは,,,ID:ktC+fdi30,1,,
"垢版
|
0030 名無しどんぶらこ 2025/11/23(日) 19:26:25.57",新　華　社,,,ID:KZSAcF2X0,,,
"垢版
|
0031 名無しどんぶらこ 2025/11/23(日) 19:26:39.24",">>21
中国父さんからビビって逃げる早苗
涙の食事会トンズラ…😭",,>>21,ID:cGfY6r7u0,,,
"垢版
|
0032 名無しどんぶらこ 2025/11/23(日) 19:27:15.09","ミャンマーとかもうすぐ消える国だしな
近いうちに中国になるんでしょ",,,ID:CC9/WuYZ0,,,
"垢版
|
0033 名無しどんぶらこ 2025/11/23(日) 19:27:17.24","あれ？w
高市の外交で中国は孤立してるはずなのになぜ😭",,,ID:24R9+Hid0,,,
"垢版
|
0034 名無しどんぶらこ 2025/11/23(日) 19:27:28.28",ていうか日本も台湾を国家認定してないよな,,,ID:O8QeehAp0,,,
"垢版
|
0035 名無しどんぶらこ 2025/11/23(日) 19:28:19.73","日本も一つの中国を否定しちゃいない。
別に中共の支配を認める宣言じゃないしな
民進党が北京支配したって一つの中国だし",,,ID:eGCrGQml0,2,,
"垢版
|
0036 名無しどんぶらこ 2025/11/23(日) 19:28:36.06",ブラックマッペの不買するわ。,,,ID:Xzn1u6m60,,,
"垢版
|
0037 名無しどんぶらこ 2025/11/23(日) 19:29:18.37","アメリカでさえそこは触れてないからな

つかアメリカは台湾の半導体シェア削れればそれでいいんだろう
たぶん防衛はしない
有事になった時点で半導体企業も逃げるから価値が無くなるし",,,ID:n5+QBSF80(1/2),,,
"垢版
|
0038 名無しどんぶらこ 2025/11/23(日) 19:29:30.96",食事会からすら逃げる高市って戦争になったら100％の確率で自分だけは速攻で逃げるよなｗ,,,ID:lD0pFEeu0,,,
"垢版
|
0039 名無しどんぶらこ 2025/11/23(日) 19:29:33.20","ミャンマーって軍事政権でかつ人権問題とかヤバいのに日本が支援してるんだよな
安倍国葬にも来なかったっけ",,,ID:odU6Cujg0(1/2),,,
"垢版
|
0040 名無しどんぶらこ 2025/11/23(日) 19:29:54.47",ミャミャミャ…ミャンマーｗｗｗ,,,ID:naibrOgZ0,,,
"垢版
|
0041 名無しどんぶらこ 2025/11/23(日) 19:30:57.07",ミャンマーは経済制裁受けてなかったか,,,ID:OCmYoEIE0,,,
"垢版
|
0042 名無しどんぶらこ 2025/11/23(日) 19:31:21.50",ミャンマーからの特定技能労働者とか帰国させろ,,,ID:L61BcVK30,,,
"垢版
|
0043 名無しどんぶらこ 2025/11/23(日) 19:31:42.09",日本を支持してくれる国は！？,,,ID:nSL1FX6c0,,,
"垢版
|
0044 名無しどんぶらこ 2025/11/23(日) 19:31:53.19",よりによってミャンマーかよ、独裁政権だけしか応援してくれないってか,,,ID:X+cAZbLq0,,,
"垢版
|
0045 名無しどんぶらこ 2025/11/23(日) 19:31:53.93",ジャップよりはマシだなw,,,ID:YJK2rR8f0,,,
"垢版
|
0046 名無しどんぶらこ 2025/11/23(日) 19:32:25.85","LOVE❤

❤

おまえら2ちゃんねるキャハ〜高市さんが今度はアメリカが調停中のロシアにケンカを売って顔真っ赤だぞ？w
https://www.yomiuri....20251122-OYT1T50149/

❤

LOVE❤",https://www.yomiuri.co.jp/politics/20251122-OYT1T50149/,https://www.yomiuri....20251122-OYT1T50149/,ID:Tk/ew3LH0,,,
"垢版
|
0047 名無しどんぶらこ 2025/11/23(日) 19:33:06.77","ロシア、ミャンマー続々と援軍が来るな
やはり日本のリベラルは世界標準",,,ID:BaeP5f9C0,,,
"垢版
|
0048 名無しどんぶらこ 2025/11/23(日) 19:33:27.68",日本政府は批判を浴びながらもミャンマー国軍をずっと支援してきたのにｗ,,,ID:e0Rq4JDk0,,,
"垢版
|
0049 名無しどんぶらこ 2025/11/23(日) 19:33:28.90",ミャンマーの戯言,,,ID:5Yxve+SX0,,,
"垢版
|
0050 名無しどんぶらこ 2025/11/23(日) 19:33:47.46",">>2
（・(ｪ)・）いい音色やな　ほらわし芸術肌やから",,>>2,ID:jWBhFxuh0,,,
"垢版
|
0051 名無しどんぶらこ 2025/11/23(日) 19:34:11.67",">>17
アフリカはもっと複雑怪奇だよ
経済的な依存度が中国が増しまくっていて上層部は中国頼り、中国が工場を作りまくり中国人労働者大量移住。同時にアフリカ労働者も中国が100万人単位で受け入れ
一方で欧州への資源取引がズブズブで上流階級は贅沢三昧汚職が酷い
上層部の親白人への反発と現地での労働を奪う中国人への反発が同時に起こっている",,>>17,ID:odU6Cujg0(2/2),,,
"垢版
|
0052 名無しどんぶらこ 2025/11/23(日) 19:36:02.02",">>17
南アフリカは中国の立場を支持だそうです",,>>17,ID:lWuzQnE40,1,,
"垢版
|
0053 名無しどんぶらこ 2025/11/23(日) 19:38:34.13","もうとっくに乗っ取られてるからな
バイバイミャンマー",,,ID:/5vsLFx/0,,,
"垢版
|
0054 名無しどんぶらこ 2025/11/23(日) 19:38:50.08",コロナ禍にクーデタ政権からの勲章貰いにウッキウキでミャンマー行った麻生太郎くん,,,ID:RwO+F1/h0,,,
"垢版
|
0055 名無しどんぶらこ 2025/11/23(日) 19:39:08.44",">>52
BRICSはインド以外は親中だからな
既定路線",,>>52,ID:qmMBOyxf0(2/2),,,
"垢版
|
0056 名無しどんぶらこ 2025/11/23(日) 19:39:39.85","中国投資最大国の発言を記事にしたってなんの意味も無いwww
そう言わざるを得ない事情ってもんがあるだろ？？
日本としては察してあげるのが優しさってもんだわwww",,,ID:NF8+AwmA0,,,
"垢版
|
0057 名無しどんぶらこ 2025/11/23(日) 19:40:47.12",ビルマの竪琴よ,,,ID:4njZA3Fo0(1/5),,,
"垢版
|
0058 名無しどんぶらこ 2025/11/23(日) 19:41:57.52","ミャンマーってまだ軍事独裁やってるんだろ…
救急車から引きずり下ろされて地面に正座させられてる救急隊員のアタマを全力でぶん殴ってる軍隊が",,,ID:GW1B867C0(1/2),,,
"垢版
|
0059 名無しどんぶらこ 2025/11/23(日) 19:42:12.47","日本の支援でヤンゴンに橋を作ったりマーケットを建てたのにね
まぁ中共と陸路続きだから小国は従わざるを得ないよな
ミャンマー人はめちゃくちゃ親日だから国民感情とは別。",,,ID:3x8d8Y1B0(1/2),,,
"垢版
|
0060 名無しどんぶらこ 2025/11/23(日) 19:42:28.61","そりゃミャンマーだもん
ビルマ時代とは違う狂った軍事国家",,,ID:hKNzriQt0,,,
"垢版
|
0061 名無しどんぶらこ 2025/11/23(日) 19:43:18.29","ミャンマーってアマゾンみたいなもんじゃないの？
国なんてあったん？",,,ID:iDxxxl0V0,1,,
"垢版
|
0062 名無しどんぶらこ 2025/11/23(日) 19:44:37.70","殺戮動画常連のミャンマー
キチガイだろこいつら",,,ID:Gp/+dd/Y0,,,
"垢版
|
0063 名無しどんぶらこ 2025/11/23(日) 19:45:06.99",さすミャン,,,ID:3mAxbvys0,,,
"垢版
|
0064 名無しどんぶらこ 2025/11/23(日) 19:45:26.63","別に日本も堅持しとるよ
平和的であればw",,,ID:bW+32JMG0,,,
"垢版
|
0065 名無しどんぶらこ 2025/11/23(日) 19:45:48.27","ここは中国の属国だからな
そういう反応は想定の範囲内でしょう",,,ID:9LW9a0kw0,,,
"垢版
|
0066 名無しどんぶらこ 2025/11/23(日) 19:46:12.28",チャイナは軍政とは相性が良い,,,ID:+TUxZiGO0(1/2),,,
"垢版
|
0067 名無しどんぶらこ 2025/11/23(日) 19:47:28.81",いいね、踏み絵じゃん今回の事って,,,ID:1KCeIZii0,,,
