threadview_response_info,inline-form2 href,inline-form2,inline-form2 (2),notranslate,threadview_response_body,notranslate (2),notranslate (3),notranslate (4),notranslate (5),notranslate (6),notranslate (7),threadview_response_body_link href,threadview_response_body_link,highlight,res_id href,res_id,notranslate (8),js-response,notranslate (9),notranslate (10),notranslate (11),threadview_response_body_link (2),js-ng-setting href,js-response href,threadview_response_body_link href (2),notranslate (12),notranslate (13),notranslate (14),notranslate (15),notranslate (16),notranslate (17),notranslate (18),notranslate (19),notranslate (20),notranslate (21),notranslate (22),notranslate (23)
"垢版
|
0001 １ゲットロボ ★ 2025/11/23(日) 22:38:19.22
0001 1Get Robo ★ 2025/11/23（周日）22：38：19.22",https://donguri.5ch.net/,垢版,|,0001 1Get Robo ★ 2025/11/23（周日）22：38：19.22,"【新華社シドニー11月22日】オーストラリア市民党のロバート・バーウィック全国委員長が20日、新華社の取材に応じ、日本の高市早苗首相による最近の発言は極めて破壊的で、日本の安全保障に無益であるばかりか、地域全体の安全も損なうとの見方を示した。
悉尼，11月22日（新华社）——澳大利亚公民党全国委员会主席罗伯特·伯威克于11月20日告诉新华社，日本近期高市早苗的言论极具破坏性，不仅损害日本安全，也破坏了整个地区的安全。

　バーウィック氏は、高市氏は長年にわたり日本の平和憲法の形骸化を企てており、首相就任後も同様の姿勢を続けていると指摘した。
伯威克指出，高市多年来一直试图让日本的和平宪法成为形式，自他成为首相以来也一直在这样做。
第2次世界大戦中に中国、オーストラリア、朝鮮半島など多くの国や地域の人々に対し残虐行為を行った日本の戦犯に同情を示しており、発言は地域の安全にとって非常に破壊的だと述べた。
他对日本战犯表示同情，这些战犯在二战期间于中国、澳大利亚和朝鲜半岛等多个国家和地区犯下暴行，称其言论对地区安全造成了极大破坏。

　また日本が自国の侵略行為をしばしば「自衛」と称してきたことは歴史が証明していると強調。「九・一八」事変（柳条湖事件）を例に挙げ、「日本軍は中国東北部の鉄道線路を自ら爆破し、それを口実に脅威を主張して中国に侵略した。中国侵略日本軍は民間人に対し、悪名高い731部隊による人体実験を含む極悪非道な罪を犯した」と述べた。
他还强调，历史证明日本常将自己的侵略行为称为“自卫”。 他以“9·18”事件（柳湖事件）为例，说：“日本军方炸毁了中国东北的一条铁路线，借此声称威胁并入侵中国。日本军队对平民犯下了滔天罪行，包括臭名昭著的731部队进行人体实验。”

　バーウィック氏は、日本国内で右翼的で過激なナショナリズムと軍国主義が台頭しており、高市氏の発言は中日関係を大きく損ない、地域の経済関係や将来の協力にも影響を及ぼしているとの考えを示した。
伯威克认为，日本右翼激进民族主义和军国主义正在抬头，高市的言论极大损害了中日关系，影响了地区经济关系和未来合作。
日本が第2次大戦中にオーストラリアのダーウィンやタウンズビルを空爆し、オーストラリア人捕虜を虐待したことにも言及し、高市氏の発言と日本による残虐行為を否定する態度に警戒すべきだと呼びかけた。
他还提到日本在二战期间轰炸澳大利亚达尔文和汤斯维尔，虐待澳大利亚战俘，并呼吁对高一的言论及其否认日本暴行保持谨慎。

https://news.livedoo...cle/detail/30047434/",悉尼，11月22日（新华社）——澳大利亚公民党全国委员会主席罗伯特·伯威克于11月20日告诉新华社，日本近期高市早苗的言论极具破坏性，不仅损害日本安全，也破坏了整个地区的安全。,伯威克指出，高市多年来一直试图让日本的和平宪法成为形式，自他成为首相以来也一直在这样做。,他对日本战犯表示同情，这些战犯在二战期间于中国、澳大利亚和朝鲜半岛等多个国家和地区犯下暴行，称其言论对地区安全造成了极大破坏。,他还强调，历史证明日本常将自己的侵略行为称为“自卫”。 他以“9·18”事件（柳湖事件）为例，说：“日本军方炸毁了中国东北的一条铁路线，借此声称威胁并入侵中国。日本军队对平民犯下了滔天罪行，包括臭名昭著的731部队进行人体实验。”,伯威克认为，日本右翼激进民族主义和军国主义正在抬头，高市的言论极大损害了中日关系，影响了地区经济关系和未来合作。,他还提到日本在二战期间轰炸澳大利亚达尔文和汤斯维尔，虐待澳大利亚战俘，并呼吁对高一的言论及其否认日本暴行保持谨慎。,https://news.livedoor.com/article/detail/30047434/,https://news.livedoo...cle/detail/30047434/,50,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:la5XBMnW9  编号：la5XBMnW9,编号：la5XBMnW9,,,,,,,,,,,,,,,,,,,,
,,,,发表评论,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/23(日) 22:39:20.05
0002 匿名 Donburako 2025/11/23（周日）22：39：20.05",https://donguri.5ch.net/,垢版,|,0002 匿名 Donburako 2025/11/23（周日）22：39：20.05,オーストリアなら問題だがオーストラリアかよw   如果是奥地利就有问题了，但毕竟是澳大利亚。,如果是奥地利就有问题了，但毕竟是澳大利亚。,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:ipoDMpzr0  ID：ipoDMpzr0,ID：ipoDMpzr0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0003 名無しどんぶらこ 2025/11/23(日) 22:39:51.31
0003 匿名 Donburako 2025/11/23（周日）22：39：51.31",https://donguri.5ch.net/,垢版,|,0003 匿名 Donburako 2025/11/23（周日）22：39：51.31,全国委員長ってなんだよバカがw   什么是全国主席？,什么是全国主席？,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:qE9i7/8R0  ID：qE9i7/8R0,ID：qE9i7/8R0,3,,,,,,,,,,,,,,,,,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/23(日) 22:40:08.22
0004 匿名 Donburako 2025/11/23（周日）22：40：08.22",https://donguri.5ch.net/,垢版,|,0004 匿名 Donburako 2025/11/23（周日）22：40：08.22,自衛が破壊的？？？   自卫是破坏性的???,自卫是破坏性的???,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:NawLV53D0  编号：NawLV53D0,编号：NawLV53D0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0005 名無しどんぶらこ 2025/11/23(日) 22:41:19.72
0005 匿名 Donburako 2025/11/23（周日）22：41：19.72",https://donguri.5ch.net/,垢版,|,0005 匿名 Donburako 2025/11/23（周日）22：41：19.72,"＞新華社    >新华社

ｗｗｗ   www.e.gr",>新华社,www.e.gr,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:b1OGaRF80  编号：b1OGaRF80,编号：b1OGaRF80,1,,,,,,,,,,,,,,,,,,,
"垢版
|
0006 名無しどんぶらこ 2025/11/23(日) 22:41:25.59
0006 匿名 Donburako 2025/11/23（周日）22：41：25.59",https://donguri.5ch.net/,垢版,|,0006 匿名 Donburako 2025/11/23（周日）22：41：25.59,">>1
物価高市！m9(^Д^)プギャーｗｗｗ    价格太高了！ m9 （^Д^） Pugya www
日銀利上げしろカス    日本银行加息",价格太高了！ m9 （^Д^） Pugya www,日本银行加息,,,,,,>>1,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:2yZtrUmh0  编号：2yZtrUmh0,编号：2yZtrUmh0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0007 名無しどんぶらこ 2025/11/23(日) 22:41:40.42
0007 匿名 Donburako 2025/11/23（周日）22：41：40.42",https://donguri.5ch.net/,垢版,|,0007 匿名 Donburako 2025/11/23（周日）22：41：40.42,オージーのパヨク   澳大利亚 Payok,澳大利亚 Payok,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:EGt5FeeW0  编号：EGt5FeeW0,编号：EGt5FeeW0,,,,,,,,,,,,,,,,,,,,
"垢版
|
0008 名無しどんぶらこ 2025/11/23(日) 22:41:43.12
0008 匿名 Donburako 2025/11/23（周日）22：41：43.12",https://donguri.5ch.net/,垢版,|,0008 匿名 Donburako 2025/11/23（周日）22：41：43.12,"このオーストラリア人は媚中派の様だな    这位澳大利亚人似乎是在夸中国。
オーストラリアにも沢山の中国人がいる    澳大利亚有很多华人",这位澳大利亚人似乎是在夸中国。,澳大利亚有很多华人,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:oOHYT99d0  ID：oOHYT99d0,ID：oOHYT99d0,1,,,,,,,,,,,,,,,,,,,
"垢版
|
0009 名無しどんぶらこ 2025/11/23(日) 22:41:45.90
0009 匿名 Donburako 2025/11/23（周日）22：41：45.90",https://donguri.5ch.net/,垢版,|,0009 匿名 Donburako 2025/11/23（周日）22：41：45.90,"大丈夫    没关系
高市早苗ならきっと日本を戦争に巻き込んで日本を滅ぼしてくれる
早苗高市肯定会让日本卷入战争并摧毁日本。
そんでバカウヨの惨めな人生もリセットしてくらるはず
巴考约那悲惨的生活应该被重置",没关系,早苗高市肯定会让日本卷入战争并摧毁日本。,巴考约那悲惨的生活应该被重置,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1763905099#,ID:Yzu/G4av0  ID：Yzu/G4av0,ID：Yzu/G4av0,2,,,,,,,,,,,,,,,,,,,
