threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,threadview_response_body_link href (2),threadview_response_body_link (2),res_id,js-response,js-ng-setting href,js-response href,threadview_response_body_link (3)
"垢版
|
0001 ぐれ ★ 2025/11/23(日) 23:09:23.96","※2025/11/23 20:32
読売新聞

　外務省は２３日、在日中国大使館が国連憲章の「旧敵国条項」に触れて日本など第２次世界大戦敗戦国への軍事行動を取れると発信したことに対し、Ｘ（旧ツイッター）で「『旧敵国条項』は死文化した」と反論した。

　同大使館は２１日、「日本などが侵略に向けた行動を取った場合、中国など国連創設国は安保理の許可を要することなく、軍事行動を取る権利を有する」と投稿した。

続きは↓
https://www.yomiuri....20251123-OYT1T50078/
関連スレ
【x】外務省、駐日中国大使館の国連憲章「旧敵国条項」に関する発信について投稿… [少考さん★]
https://asahi.5ch.ne...newsplus/1763889709/",https://www.yomiuri.co.jp/politics/20251123-OYT1T50078/,https://www.yomiuri....20251123-OYT1T50078/,https://asahi.5ch.net/test/read.cgi/newsplus/1763889709/,https://asahi.5ch.ne...newsplus/1763889709/,ID:2+hTqzo19,,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/23(日) 23:10:01.32",You.Tubeで大宮公園のピースくん見てからビールでも飲むかな,,,,,ID:Ks3apHa30,,,,
"垢版
|
0003 名無しどんぶらこ 2025/11/23(日) 23:10:56.67","この人もなかなかクレイジーだよね
本国は何時までほっとくんだろ",,,,,ID:qYGqmD+y0,2,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/23(日) 23:11:41.66","ブラフだなあ
まだまだ余裕だわ",,,,,ID:CATOeYBl0,,,,
"垢版
|
0005 警備員[Lv.10][苗] 2025/11/23(日) 23:11:53.48",無能の中国共産党は知らなかったんだろうな,,,,,ID:pZyoft3V0,,,,
"垢版
|
0006 名無しどんぶらこ 2025/11/23(日) 23:11:57.15",だいたい何年まえの話ししているんだよ,,,,,ID:jBE+u43z0,1,,,
"垢版
|
0007 名無しどんぶらこ 2025/11/23(日) 23:12:12.31",軍国主義w,,,,,ID:59gBPGQP0,,,,
"垢版
|
0008 名無しどんぶらこ 2025/11/23(日) 23:13:09.20","苦しい反論すね
条文残ってますが何か？で終わりだろ",,,,,ID:3J5T4G8B0,2,,,
"垢版
|
0009 名無しどんぶらこ 2025/11/23(日) 23:13:25.30",死文化されたとしても削除されていないことは事実だからな,,,,,ID:uXdgd0MR0,,,,
"垢版
|
0010 名無しどんぶらこ 2025/11/23(日) 23:14:37.27","中国が日本を恐れてるのは日本が理詰めでくるからだよ
だから下品な戦狼外交に頼るしかない",,,,,ID:ljOuQBQ30,,,,
"垢版
|
0011 名無しどんぶらこ 2025/11/23(日) 23:15:39.61",">>1
おいおい、侵略する気はあるんかい",,>>1,,,ID:FctLXqNA0,,,,
"垢版
|
0012 名無しどんぶらこ 2025/11/23(日) 23:16:33.17",負け犬ジャップは立場わきまえろよ,,,,,ID:Tfyze/Qs0,3,,,
"垢版
|
0013 名無しどんぶらこ 2025/11/23(日) 23:19:27.34",戦争になったら、いちいちマジメに条文守らないだろう。マジメを超えるから戦争になるんだよ,,,,,ID:YzJydZd30,,,,
"垢版
|
0014 名無しどんぶらこ 2025/11/23(日) 23:19:34.44","正論でぶん殴り続けるとますます国際的な孤立が避けられなくなる
一度徹底的に追い詰めるか",,,,,ID:35OdHGWC0,,,,
"垢版
|
0015 名無しどんぶらこ 2025/11/23(日) 23:19:46.50",">>12
その負け犬国に住んでるお前も負け犬",,>>12,,,ID:0ErRW2hP0,,,,
"垢版
|
0016 名無しどんぶらこ 2025/11/23(日) 23:19:57.93","反人類グローバリスト組織国連と中国共産党のタッグ
考えうる限り最悪の組み合わせだ",,,,,ID:wmdwU2Dy0,,,,
"垢版
|
0017 名無しどんぶらこ 2025/11/23(日) 23:20:02.08",アホなサヨク軍国主義者詰みw,,,,,ID:uuvHL4080,1,,,
