threadview_response_info,inline-form2 href,inline-form2,inline-form2 (2),notranslate,threadview_response_body,notranslate (2),notranslate (3),notranslate (4),notranslate (5),notranslate (6),notranslate (7),notranslate (8),notranslate (9),notranslate (10),notranslate (11),notranslate (12),threadview_response_body_link href,threadview_response_body_link,res_id href,res_id,notranslate (13),js-response,threadview_response_body_embedlink href,threadview_response_body_thumbnail src,threadview_response_body_link href (2),threadview_response_body_link (2),js-ng-setting href,js-response href
"垢版
|
0001 蚤の市 ★ 2025/11/25(火) 23:36:25.95
0001跳蚤市场 ★ 2025/11/25（星期二）23：36：25.95",https://donguri.5ch.net/,垢版,|,0001跳蚤市场 ★ 2025/11/25（星期二）23：36：25.95,"台湾有事に関する高市早苗首相の国会答弁をめぐり日中の対立が深まる中で、トランプ米大統領が両国首脳との対話に乗り出した。ただ、トランプ氏の真意は読み切れず、日本側の事態打開の見通しは立っていない。
随着中日首相高苗就台湾紧急状态向国会作出回应而加深的对峙，美国总统特朗普已与两国领导人展开对话。 然而，特朗普的真实意图无法完全解读，日本方面也没有打破局势的可能。

　「電話協議の雰囲気は前向きで、友好的で、建設的だった」
“通话气氛积极、友好且建设性。”

　中国外務省の毛寧報道局長は25日の会見で、前日にあった米中首脳による電話協議をこう評価した。
中国外交部新闻处处长毛宁在25日的新闻发布会上评估了前一天美中领导人之间的电话讨论。
(略)
　米中協議の翌日、25日にあった日米首脳の電話協議について、共産党機関紙・人民日報系「環球時報」前編集長の胡錫進氏は、トランプ氏が首相に対し「日本が台湾海峡情勢を激化させる行動を取ることを望んでいないというメッセージを伝えた可能性が高い」とSNSに投稿。中国との関係改善をめざすトランプ氏が来年4月に予定する訪中まで「迷惑をかけないでほしい」という意味だと分析した。
关于中美领导人于25日电话会谈的次日，中共官方报纸《人民日报》前主编胡锡进在社交媒体上发文称，特朗普向首相传达“日本不愿采取行动加剧台海局势”。 分析显示，特朗普旨在改善与中国的关系，他的意思是“希望你不要惹事”，直到他计划于明年四月访华。

　台湾問題に関しては中国に譲歩の余地はない。首相答弁の撤回を求めつつ、日本への旅行や留学の自粛を呼びかけるなどして、対日圧力を強めてきた中国は、今後も威圧的な態度を継続するとみられる。
在台湾问题上，没有让步空间给中国。 中国通过呼吁自制访问日本和出国留学，并呼吁撤回首相的答复，加大了对日本的压力，预计未来将继续保持其威慑态度。

　ただ、レアアース（希土類）の輸出規制のような強力な「経済カード」を切れば世界の供給網に影響し、中国側への批判が高まりかねない。他国企業の中国内の活動が停滞すれば中国側も無傷ではいられず、国内の不満が高まる可能性もある。中国側は今後の展開を見極めつつ、「返り血」を浴びないよう慎重に次の一手を検討しているとみられる。
然而，如果取消如稀土出口限制等强有力的“经济牌”，将影响全球供应链，并可能加剧对中方的批评。 如果中国其他企业的活动停滞，中方也不会毫发无损，国内不满情绪也可能加剧。 中方似乎在谨慎考虑下一步行动，以避免在评估未来发展时暴露于“血还”的风险。

トランプ氏が申し出た日米電話協議　背景は    特朗普提出的日美电话会谈背景如下
　トランプ氏からの申し出で急きょ実施された日米首脳の電話協議。トランプ氏は首相に習近平（シーチンピン）国家主席との電話協議の内容を伝えたといい、外形的にはトランプ氏が「伝達役」を担うことになった。
应特朗普先生的要求，日美领导人匆忙召开了电话会谈。 据称特朗普已将与习近平主席的电话会面内容传达给总理，特朗普将在表面上扮演“传达者”角色。

　トランプ氏は今月、首相の台湾有事に関する国会答弁をめぐる日中の応酬についてテレビインタビューで尋ねられた際、中国批判はせず、習氏とは「うまくいっている」と答えた。米政権からもこれに対する直接的な言及は目立たず、距離を置いているともみられていた。
本月在电视采访中被问及日中总理对台湾应急回应国会的交流时，特朗普未批评中国，仅表示“与习习相处得很好”。 美国政府也未直接提及此事，且显示他们保持距离。

　背景にあるのは、対中交渉に…(以下有料版で，残り1874文字)
背景是，在与中国的谈判中...... （以下称为付费版，剩余1874字符）


朝日新聞　2025年11月25日 20時30分
朝日新闻 2025年11月25日 20时30分
https://www.asahi.co...tml?iref=comtop_7_01",随着中日首相高苗就台湾紧急状态向国会作出回应而加深的对峙，美国总统特朗普已与两国领导人展开对话。 然而，特朗普的真实意图无法完全解读，日本方面也没有打破局势的可能。,“通话气氛积极、友好且建设性。”,中国外交部新闻处处长毛宁在25日的新闻发布会上评估了前一天美中领导人之间的电话讨论。,关于中美领导人于25日电话会谈的次日，中共官方报纸《人民日报》前主编胡锡进在社交媒体上发文称，特朗普向首相传达“日本不愿采取行动加剧台海局势”。 分析显示，特朗普旨在改善与中国的关系，他的意思是“希望你不要惹事”，直到他计划于明年四月访华。,在台湾问题上，没有让步空间给中国。 中国通过呼吁自制访问日本和出国留学，并呼吁撤回首相的答复，加大了对日本的压力，预计未来将继续保持其威慑态度。,然而，如果取消如稀土出口限制等强有力的“经济牌”，将影响全球供应链，并可能加剧对中方的批评。 如果中国其他企业的活动停滞，中方也不会毫发无损，国内不满情绪也可能加剧。 中方似乎在谨慎考虑下一步行动，以避免在评估未来发展时暴露于“血还”的风险。,特朗普提出的日美电话会谈背景如下,应特朗普先生的要求，日美领导人匆忙召开了电话会谈。 据称特朗普已将与习近平主席的电话会面内容传达给总理，特朗普将在表面上扮演“传达者”角色。,本月在电视采访中被问及日中总理对台湾应急回应国会的交流时，特朗普未批评中国，仅表示“与习习相处得很好”。 美国政府也未直接提及此事，且显示他们保持距离。,背景是，在与中国的谈判中...... （以下称为付费版，剩余1874字符）,朝日新闻 2025年11月25日 20时30分,https://www.asahi.com/articles/ASTCT3DFPTCTUTFK00PM.html?iref=comtop_7_01,https://www.asahi.co...tml?iref=comtop_7_01,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:yb75SgAd9  编号：yb75SgAd9,编号：yb75SgAd9,,,,,,,
,,,,发表评论,,,,,,,,,,,,,,,,,,,,,,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/25(火) 23:37:40.94
0002 匿名 Donburako 2025/11/25（星期二）23：37：40.94",https://donguri.5ch.net/,垢版,|,0002 匿名 Donburako 2025/11/25（星期二）23：37：40.94,トランプが引っ掻き回すのが目に見えてる。   我能看到扑克牌在划动。,,,,,,,我能看到扑克牌在划动。,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:mJbQjRoB0  ID：mJbQjRoB0,ID：mJbQjRoB0,,,,,,,
"垢版
|
0003 名無しどんぶらこ 2025/11/25(火) 23:39:24.28
0003 匿名 Donburako 2025/11/25（星期二）23：39：24.28",https://donguri.5ch.net/,垢版,|,0003 匿名 Donburako 2025/11/25（星期二）23：39：24.28,"火付け役の朝日が何言ってるんだか、北キム系だから日中関係悪化は好都合なんだろう・・
旭这个火花制造者说的是什么意思，既然他来自朝鲜，日中关系恶化就很方便......",旭这个火花制造者说的是什么意思，既然他来自朝鲜，日中关系恶化就很方便......,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:c5U/KTCE0  编号：c5U/KTCE0,编号：c5U/KTCE0,1,,,,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/25(火) 23:40:49.89
0004 匿名 Donburako 2025/11/25（星期二）23：40：49.89",https://donguri.5ch.net/,垢版,|,0004 匿名 Donburako 2025/11/25（星期二）23：40：49.89,朝日はまずお詫びからだろ   朝日先道歉,,,,,,,朝日先道歉,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:NKozrGRB0  编号：NKozrGRB0,编号：NKozrGRB0,,,,,,,
"垢版
|
0005 名無しどんぶらこ 2025/11/25(火) 23:41:29.56
0005 匿名 Donburako 2025/11/25（星期二）23：41：29.56",https://donguri.5ch.net/,垢版,|,0005 匿名 Donburako 2025/11/25（星期二）23：41：29.56,トランプに迷惑をかけるキチガイ早苗www   给特朗普制造麻烦的吉市井早苗 www,,,,,,,给特朗普制造麻烦的吉市井早苗 www,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:Wk8Q/od00  ID：Wk8Q/od00,ID：Wk8Q/od00,,,,,,,
"垢版
|
0006 名無しどんぶらこ 2025/11/25(火) 23:42:15.23
0006 匿名 Donburako 2025/11/25（星期二）23：42：15.23",https://donguri.5ch.net/,垢版,|,0006 匿名 Donburako 2025/11/25（星期二）23：42：15.23,"昭恵「やれ」    秋惠：“做吧。”
トランプ「はい」    特朗普：“是的。”
キンペー「はい」    金平：“是的。”
早苗「はい」    早苗：“是的。”

安倍ちゃんすげー！    阿部酱真厉害！",特朗普：“是的。”,金平：“是的。”,早苗：“是的。”,阿部酱真厉害！,,,秋惠：“做吧。”,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:iAI/7OCB0  ID：iAI/7OCB0,ID：iAI/7OCB0,,,,,,,
"垢版
|
0007 名無しどんぶらこ 2025/11/25(火) 23:42:29.62
0007 匿名 Donburako 2025/11/25（星期二）23：42：29.62",https://donguri.5ch.net/,垢版,|,0007 匿名 Donburako 2025/11/25（星期二）23：42：29.62,"高市早苗がバカなだけなのに    高市早苗就是个笨蛋
立憲や朝日新聞に責任転嫁する統一教会のバカウヨどもには呆れるね
我对统一教会那些把责任推给宪法和朝日新闻的感到震惊。",高市早苗就是个笨蛋,我对统一教会那些把责任推给宪法和朝日新闻的感到震惊。,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:eHDXOP2s0  ID：eHDXOP2s0,ID：eHDXOP2s0,,,,,,,
"垢版
|
0008 名無しどんぶらこ 2025/11/25(火) 23:42:40.16
0008 匿名 Donburako 2025/11/25（星期二）23：42：40.16",https://donguri.5ch.net/,垢版,|,0008 匿名 Donburako 2025/11/25（星期二）23：42：40.16,"https://www.youtube....a8hbK0MbpKS&index=14
中国終わったな    中国结束了",中国结束了,,,,,,,,,,,https://www.youtube.com/watch?v=gw8qQc7B8Ig&list=PLU8XCsqyASJVtLhsJ8ajr3a8hbK0MbpKS&index=14,https://www.youtube....a8hbK0MbpKS&index=14,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:1htt+Tjq0  ID：1htt+Tjq0,ID：1htt+Tjq0,1,https://www.youtube.com/watch?v=gw8qQc7B8Ig&list=PLU8XCsqyASJVtLhsJ8ajr3a8hbK0MbpKS&index=14,https://i.ytimg.com/vi/gw8qQc7B8Ig/default.jpg,,,,
"垢版
|
0009 名無しどんぶらこ 2025/11/25(火) 23:42:54.70
0009 匿名 Donburako 2025/11/25（星期二）23：42：54.70",https://donguri.5ch.net/,垢版,|,0009 匿名 Donburako 2025/11/25（星期二）23：42：54.70,壺市はトランプに電話で相当叱られたようだな   看起来保一市在电话里被特朗普训斥了,看起来保一市在电话里被特朗普训斥了,,,,,,,,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764081385#,ID:7QBY8ph80  编号：7QBY8ph80,编号：7QBY8ph80,1,,,,,,
