threadview_response_info,threadview_response_body,threadview_response_body href,threadview_response_body_be src,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,js-ng-setting href,js-response href,threadview_response_body_link (2)
"垢版
|
0001 ジャストフェイスロック(ジパング) [ﾆﾀﾞ] 2025/11/26(水) 12:33:40.15","台湾の外務省にあたる外交部は台湾海峡で中国との衝突が起きた場合、日本が協力して台湾を防衛するかどうかは分からないとする分析内容を議会に報告しました。

　外交部は高市早苗総理大臣の台湾を巡る国会答弁の影響などについて、議会から分析を求められていました。

台湾メディアによりますと、外交部は24日の報告で、いわゆる「台湾有事」に関して日本政府は戦略的に曖昧（あいまい）な立場を維持していると指摘したうえで、日本政府の意思決定はアメリカの動向や日本の世論など、多くの要因の影響を受けると分析しました。

　そして、高市総理の答弁内容から直接、「日本が台湾を防衛する」と解釈するのは難しいという判断を示したということです。

https://news.tv-asah...icles/000468461.html",https://be.5ch.net/user/455679766,https://img.5ch.net/ico/araebi.gif,https://news.tv-asahi.co.jp/news_international/articles/000468461.html,https://news.tv-asah...icles/000468461.html,21,ID:jmX74zT30,,,,
"垢版
|
0002 ニーリフト(みかか) [CN] 2025/11/26(水) 12:34:49.64",じゃあなんで中国はキレてんの？,,,,,16,ID:ygv2uj1o0,,,,
"垢版
|
0003 ドラゴンスクリュー(茸) [CN] 2025/11/26(水) 12:35:31.07",チャイナ人に日本語の記事は難しいかな？,,,,,,ID:JB8L354w0,1,,,
"垢版
|
0004 膝靭帯固め(庭) [US] 2025/11/26(水) 12:36:07.94","普通はそう判断するわな
高市降ろしが目的だから
公明党離脱からようやっとる",,,,,,ID:WtJFasC40,,,,
"垢版
|
0005 ツームストンパイルドライバー(茸) [CN] 2025/11/26(水) 12:37:26.00",そう解釈した中国が意味不明といっていただければ,,,,,,ID:i8Q6oQdb0,,,,
"垢版
|
0006 ムーンサルトプレス(茸) [ES] 2025/11/26(水) 12:37:46.75",中国の反応が敏感すぎるよね,,,,,,ID:igujXOls0,,,,
"垢版
|
0007 32文ロケット砲(ジパング) [ﾆﾀﾞ] 2025/11/26(水) 12:37:53.93",">>2
朝日に騙されたから",,,,>>2,,ID:sUIJD+1V0,1,,,
"垢版
|
0008 ジャストフェイスロック(茸) [FR] 2025/11/26(水) 12:38:03.10","むしろ中国批判してるだろこれ
日本はそんなこと言ってないからちょっと落ち着けって話じゃないの",,,,,,ID:437TpggS0,1,,,
"垢版
|
0009 栓抜き攻撃(庭) [JP] 2025/11/26(水) 12:38:05.24","当たり前の話だろ
日米は当てにならないから自分で防衛するのが基本と言ってんだよ",,,,,,ID:JnT4a7V40,,,,
"垢版
|
0010 河津落とし(庭) [ﾆﾀﾞ] 2025/11/26(水) 12:38:14.39",">>2
意味はないけどニュアンスはある言葉ってあるじゃん
中国に喧嘩を売るニュアンスはあった",,,,>>2,,ID:eWCN1Wu60(1/18),3,,,
