threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,js-ng-setting href,threadview_response_body_embedlink href,threadview_response_body_thumbnail src,js-response href,threadview_response_body_link (2),threadview_response_body_link href (2)
"垢版
|
0001 少考さん ★ 2025/11/26(水) 18:19:31.83","社民・福島瑞穂党首「存立危機事態についての高市総理の発言は撤回すべき」「日本の政治の問題として」｜よろず～ニュース

2025.11.26(Wed)

社民党の福島瑞穂党首（69）が26日、国会内での定例会見で、高市早苗首相（64）の台湾有事、存立危機事態を巡る国会答弁について「存立危機事態についての高市総理の発言は、撤回すべきというのが社民党の立場です」と述べた。

　福島氏は「答弁の中で、中国が戦艦を出して海上を封鎖した場合、日本の存立危機事態になりえるという答弁は、本当に極めて問題。集団的自衛権の行使、日本が攻められてないのに他国で戦争することは明確な憲法違反」と指摘した。

　2015年の安保関連法案の議論時の、当時の安倍晋三首相の答弁を振り返った福島氏は「日本の存立危機事態に当たりうるという極めて限定的な場合、日本が武力行使…戦争ができるという答弁をしたわけです。その時に出たのが、ホルムズ海峡と米艦防護で、この台湾有事の話は一切出てきていません。日本の生命やさまざまなことについて、本当に影響を与えうるという存立危機事態といえる、ということにはならない」と強調した。

　福島氏は「中国の戦艦が海上封鎖をした場合に、日本が存立危機事態となりうるというのはやっぱり問題。集団的自衛権の行使は憲法違反。国会の答弁で説明をした法律の解釈を超えてしまっているということが問題。当時私は特別委員会で、ずっと議論をしていた。存立危機事態に対する解釈が、安倍総理が説明したことよりもはるかに超えてしまっている。日本の政治の問題として、撤回をしないとだめです」と重ねて訴えた。

　水産物の輸入停止や中国人観光客の訪日自粛など、日本経済への影響が出ているとして（略）

※全文はソースで。↓
https://yorozoonews.jp/article/16182719",https://yorozoonews.jp/article/16182719,https://yorozoonews.jp/article/16182719,64,ID:9870iv8p9,,,,,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/26(水) 18:20:00.21",存立危機事態ってそれ社民党のことだろｗ,,,15,ID:h8K8PFEq0,,,,,,,
"垢版
|
0003 名無しどんぶらこ 2025/11/26(水) 18:20:07.74",スパイじゃないんだからさ,,,,ID:ND6//45L0,,,,,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/26(水) 18:20:08.94",本当に弁護士なの？抜き打ちテストしたほうがいいんじゃない？,,,,ID:WqmwRxAl0,4,,,,,,
"垢版
|
0005 名無しどんぶらこ 2025/11/26(水) 18:20:10.56",おっそ,,,,ID:DBeVUhwb0,,,,,,,
"垢版
|
0006 名無しどんぶらこ 2025/11/26(水) 18:21:20.34",中国代表,,,,ID:HpYt+nWe0,,,,,,,
"垢版
|
0007 名無しどんぶらこ 2025/11/26(水) 18:21:20.78",そもそも集団的自衛権そのものを認めない立場の人たちとは相容れるわけがないので黙ってていいです,,,,ID:eTpJOT080,,,,,,,
"垢版
|
0008 名無しどんぶらこ 2025/11/26(水) 18:21:39.28",うるせーよ泡沫政党,,,,ID:WQUIz8x90,,,,,,,
"垢版
|
0009 名無しどんぶらこ 2025/11/26(水) 18:21:54.08",">>1
物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",,>>1,,ID:YcTjDJ/K0(1/4),1,,,,,,
"垢版
|
0010 名無しどんぶらこ 2025/11/26(水) 18:21:58.88",">>1
何で落ち着いた頃を見計らってしゃしゃってんの？",,>>1,,ID:d43sCmYn0(1/6),,,,,,,
"垢版
|
0011 名無しどんぶらこ 2025/11/26(水) 18:22:13.48","こいつなら中共の手先みたいなこと言うだろうよ
全然ブレてない",,,,ID:TDbqogjB0,,,,,,,
"垢版
|
0012 名無しどんぶらこ 2025/11/26(水) 18:22:23.62","瑞穂いつのまにか70歳なんやね
50くらいて印象止まっていたわ",,,,ID:kRKTEtlP0,,,,,,,
"垢版
|
0013 名無しどんぶらこ 2025/11/26(水) 18:22:28.07",1％以下の誰も気にしない存在が政治語ったら駄目でしょ民意とは何かね,,,,ID:iIzUt3gF0,,,,,,,
