threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,threadview_response_body_link (2),threadview_response_body_link href (2),threadview_response_body_link (3),js-ng-setting href,js-response href
"垢版
|
0001 ぐれ ★ 2025/11/27(木) 21:38:07.00","※11/27(木) 18:46
テレ朝NEWS

　党首討論の政治改革を巡るやり取りで高市総理大臣が「そんなことよりも定数削減やりましょう」と発言したことについて、木原官房長官は「急いで話題転換する趣旨だ」と釈明しました。

　26日に行われた党首討論で、立憲民主党の野田代表は最後に「政治とカネ」の問題に決着をつけるべきだとして、このように問いただしました。

立憲民主党　野田代表
「企業・団体献金の受け取り先として、政党支部がなっている、それがどうなっているかの実態把握どうなっていますか。それを石破前総理は約束をされて、公党でありますので引き継ぎされていると思いますが」

高市総理大臣
「支部の数、そして実情調査は行っておりますけれども、それを御党にお示しするという約束であるとは思っておりません。そんなことよりもぜひ、野田総理、定数の削減やりましょうよ。これは私の心残りでございます」

　野田代表は党首討論の後、「全く理解できなかった。『そんなこと』ではなく、政治改革のセンターピンは政治資金規正法だ」と批判していました。

木原官房長官
「高市総理は党首討論のもう残り時間がなくなる直前であったなかで、急いで話題を転換する趣旨でそのような表現を用いたものと受け止めております」

続きは↓
「そんなことよりも」発言を釈明　木原官房長官「急いで話題転換する趣旨」 https://topics.smt.d...vasahinews-000469275",https://topics.smt.docomo.ne.jp/article/tvasahinews/politics/tvasahinews-000469275,https://topics.smt.d...vasahinews-000469275,24,ID:qn/R9MGv9,,,,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/27(木) 21:39:34.22",野球しようぜ,,,,ID:GdUkrWkV0,2,,,,,
"垢版
|
0003 名無しどんぶらこ 2025/11/27(木) 21:39:34.57",ああ言った！こう言った！,,,,ID:dNFC8gCh0,,,,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/27(木) 21:40:10.07","そんなことよりも　だよ

ホント",,,,ID:aFv8ioTl0,,,,,,
"垢版
|
0005 名無しどんぶらこ 2025/11/27(木) 21:40:15.12",そんなことよりもナイジェリアスレはよ,,,,ID:Kywa+BnC0,1,,,,,
"垢版
|
0006 名無しどんぶらこ 2025/11/27(木) 21:40:18.01",高市がなんか喋る度にフォローしないといけないのか,,,,ID:2FyX5fMj0,1,,,,,
"垢版
|
0007 名無しどんぶらこ 2025/11/27(木) 21:40:19.75",ところで俺のキンタマを見てくれ,,,5,ID:Lm+KFXNJ0(1/3),,,,,,
"垢版
|
0008 名無しどんぶらこ 2025/11/27(木) 21:40:54.80",ほんと野党には「そんなことよりも」だな,,,,ID:LGrEvRfE0,,,,,,
"垢版
|
0009 名無しどんぶらこ 2025/11/27(木) 21:41:00.89",そんなことウイグルガー,,,,ID:CiF98pHF0,,,,,,
"垢版
|
0010 名無しどんぶらこ 2025/11/27(木) 21:41:03.33",余計なことしなくていいから消費税廃止してよ,,,,ID:msRhvDfD0,1,,,,,
"垢版
|
0011 名無しどんぶらこ 2025/11/27(木) 21:41:17.65",意味のない釈明だよ,,,,ID:x0gC9T8q0,,,,,,
"垢版
|
0012 名無しどんぶらこ 2025/11/27(木) 21:41:28.14",取りあえず高市は喋らん方が良いw,,,,ID:oZveqEII0(1/3),1,,,,,
"垢版
|
0013 名無しどんぶらこ 2025/11/27(木) 21:41:34.87",そんなことよりも立件崩壊しろ,,,,ID:cdEuHusW0,,,,,,
"垢版
|
0014 名無しどんぶらこ 2025/11/27(木) 21:41:46.19",">>10
そんなことよりも金融商品課税",,>>10,,ID:XIu6N4OE0,,,,,,
"垢版
|
0015 名無しどんぶらこ 2025/11/27(木) 21:41:55.83",政治資金規制法も定数削減も両方やれ,,,,ID:M7fGJrx10,1,,,,,
"垢版
|
0016 名無しどんぶらこ 2025/11/27(木) 21:42:35.90",流行語大賞タイミング遅かったな,,,,ID:ZTiIiHAc0,,,,,,
"垢版
|
0017 名無しどんぶらこ 2025/11/27(木) 21:42:36.08",">>1
物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",,>>1,,ID:JoelE1kd0,,,,,,
"垢版
|
0018 名無しどんぶらこ 2025/11/27(木) 21:43:09.83","これはイメージ悪い
政治献金問題より議員削減のほうが重要だろうって言ってるようなもの",,,,ID:WmfIZr8/0,2,,,,,
"垢版
|
0019 名無しどんぶらこ 2025/11/27(木) 21:43:11.54",まさに舌禍,,,,ID:xkVs2HOP0,,,,,,
"垢版
|
0020 名無しどんぶらこ 2025/11/27(木) 21:43:11.58",">>5

これか？

https://kizuna.5ch.n...i/wcomic/1761345424/",https://kizuna.5ch.net/test/read.cgi/wcomic/1761345424/,https://kizuna.5ch.n...i/wcomic/1761345424/,,ID:oZveqEII0(2/3),,>>5,,,,
"垢版
|
0021 名無しどんぶらこ 2025/11/27(木) 21:43:16.87","急いで話題を転換する＝話をそらしたい
高市政権は言い訳までアホなのか",,,,ID:ZHt0Agcu0(1/3),3,,,,,
"垢版
|
0022 名無しどんぶらこ 2025/11/27(木) 21:43:32.57",">>1
立憲民主党も調査委託費という、受け取った側の政治資金収支報告書に記載されないお金を支出しているんだよね。

立憲民主党の調査委託費は、定期的に定額をまるで給料のように支出していて、

委託するお金じゃなくなっているんだよね。

そもそも党員に「調査を委託する」って考え方がおかしいよ。

自民党のキックバック問題が政治資金規正法違反なら、立憲民主党の調査委託費も政治資金規正法違反だよ。

「支持率下げてやる」ために、ただの事務手続き上の失敗をあげつらうよりも、国民の生活を向上することのために議論すべきだよ。",,>>1,,ID:J/gJ9Ml80,,,,,,
"垢版
|
0023 名無しどんぶらこ 2025/11/27(木) 21:43:45.74","確かに言い方悪いけど
鬼の首取ったように批判することでもないだろ
だから議論が進まない",,,,ID:fIBDJUxM0,,,,,,
"垢版
|
0024 名無しどんぶらこ 2025/11/27(木) 21:43:51.76",そんなことってぞんざいに取られかねない言い方をわざわざしたのは稚拙,,,,ID:mNQaO1lS0,,,,,,
"垢版
|
0025 名無しどんぶらこ 2025/11/27(木) 21:44:15.99",木原さんは大変やなぁw,,,,ID:JzS9ThB70(1/5),,,,,,
"垢版
|
0026 名無しどんぶらこ 2025/11/27(木) 21:44:23.37","立憲の馬鹿どもは本当にろくなのおらんな
全滅しろ",,,,ID:T5zkDYDI0,,,,,,
"垢版
|
0027 名無しどんぶらこ 2025/11/27(木) 21:44:27.95",裏金より自党に有利な選挙制度変更か,,,,ID:GO8norhq0,,,,,,
"垢版
|
0028 名無しどんぶらこ 2025/11/27(木) 21:44:29.73",木原も池沼なの？ｗｗｗｗ,,,,ID:mBsD0MOl0,,,,,,
"垢版
|
0029 名無しどんぶらこ 2025/11/27(木) 21:44:55.18","森喜朗以来の天然の失言製造機だな
現代版の神の国発言みたいなので、この内閣は爆散すると思うわ",,,,ID:HzE3e9m+0,,,,,,
"垢版
|
0030 名無しどんぶらこ 2025/11/27(木) 21:44:59.46",">>1
高市を必死になって罵倒して攻撃してるのは
下等遺伝子奴隷民族朝鮮人の
中国共産党工作員五毛ドモw🤣",,>>1,,ID:rCgfHCXt0(1/3),,,,,,
"垢版
|
0031 名無しどんぶらこ 2025/11/27(木) 21:45:09.83",そんな(どうでもいい)ことより,,,,ID:2IIeggTI0,,,,,,
"垢版
|
0032 名無しどんぶらこ 2025/11/27(木) 21:45:14.95","立憲脱糞党野ブタは、
自党のバカ子分が原因で、
中国共産党が満天下に恥を晒すハメになったから、
慌てて火消しに出てきたw🤣
野ブタを中国共産党はまた激怒して見ている
野ブタは、
東京都が尖閣諸島を民間から買い上げて都の財産にしようとしたのを
横から強引に買い上げて国有地にしたことで、
中国共産党を激怒させて日本排斥の大騒動を引き起こした張本人
安倍晋三に政権を奪われてから、
ようやく中国共産党の怒りが収まった
中国共産党は東京都が民間から買い上げるのには
過剰な反応をせずに抑制してスルーするところだったのに、
下手に野ブタがしゃしゃり出てきて中国共産党の激怒を買ったw🤣🤣🤣",,,,ID:rCgfHCXt0(2/3),,,,,,
"垢版
|
0033 名無しどんぶらこ 2025/11/27(木) 21:45:20.27","サナは誠実だから
思ってることがつい口に出ちゃうの",,,,ID:uHfE2qIR0,1,,,,,
"垢版
|
0034 名無しどんぶらこ 2025/11/27(木) 21:45:56.53","外交ベタのつい言い過ぎた高市サナ
トランプに激怒され台湾外交部からも信用されず
東洋のゼレンスキーと化し国益を損ねた模様

そんなことよりも内閣官房畑で鍛えられた男
安　倍　晋　三
https://news.ntv.co....90204_223851755u.jpg",https://news.ntv.co.jp/gimage/n24/articles/b501e11ef6724196b3bc503484e27781/20190204_223851755u.jpg,https://news.ntv.co....90204_223851755u.jpg,,ID:+JtbF5Y90,1,,,,,
"垢版
|
0035 名無しどんぶらこ 2025/11/27(木) 21:46:21.58","釈明とかいらねー
そんなことよりも円安進行をなんとかしろ
これも喫緊の課題だぞ？",,,,ID:wzIRKrA50(1/3),,,,,,
"垢版
|
0036 名無しどんぶらこ 2025/11/27(木) 21:46:21.48",発言軽いなあ,,,,ID:KjyJAHl80(1/2),,,,,,
"垢版
|
0037 名無しどんぶらこ 2025/11/27(木) 21:46:36.63",サナエオワタ,,,,ID:uuQS4c9j0,,,,,,
"垢版
|
0038 名無しどんぶらこ 2025/11/27(木) 21:46:51.06",高市の介護大変そう,,,,ID:F9tXm3tt0,,,,,,
"垢版
|
0039 名無しどんぶらこ 2025/11/27(木) 21:46:54.57","この手の話になると、
一斉に似たような内容で中国共産党擁護、日本政府攻撃のレスが増えて、
ソレが簡単に論破されると、
しばらくそういうヤツラの反応が止まって、
またしばらくして別のネタで中国共産党擁護、日本政府攻撃のレスがワッと増えるよなw🤣
裏でどんな話をしてんのか、どこから命令が来てんのか、
まるでバレバレなんだけどw🤣🤣🤣",,,,ID:rCgfHCXt0(3/3),,,,,,
"垢版
|
0040 名無しどんぶらこ 2025/11/27(木) 21:47:06.28","党首討論、野党がイニシアチブを取るのに与党が話題を変える？
馬鹿なのかな？
木原、言い訳ばかりでもうHPはゼロだろ",,,,ID:Ab2TkTZC0,,,,,,
"垢版
|
0041 名無しどんぶらこ 2025/11/27(木) 21:47:06.81","「そんなことよりも」発言を引き出した立憲野田はなぜ国民に謝罪しないのか？
なぜこのタイミングで企業団体献金などという失言を狙ったかのような不適切な質問をしたのか？",,,,ID:GrOofc8d0,,,,,,
