threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,threadview_response_body_link href (2),threadview_response_body_link (2),highlight,res_id,js-response,threadview_response_body_embedlink href,threadview_response_body_thumbnail src,js-ng-setting href,js-response href
"垢版
|
0001 ぐれ ★ 2025/11/27(木) 22:30:15.89","※11/27(木) 0:46配信
ロイター

［北京　２６日　ロイター］ - 駐日中国大使館は２６日、中国国民に対し、当面の間日本を訪問しないよう改めて警告した。複数の中国国民がここ数日「いわれのない侮辱や暴行」を受け、負傷したとの報告があったとした。

大使館は中国のソーシャルメディアアカウントで声明を発表し、既に日本に滞在している人々に対し、安全対策を強化するよう勧告した。日本における最近の暴力犯罪の増加を示唆するデータにも言及した。

続きは↓
https://news.yahoo.c...9ab66e711e66cd52152a
※前スレ
中国、日本渡航に再警告　「侮辱や暴行で複数の負傷報告」 [ぐれ★]
https://asahi.5ch.ne...newsplus/1764244526/

1 ぐれ ★ 2025/11/27(木) 20:55:26.97",https://news.yahoo.co.jp/articles/0a4f1e4b96f7fbfcf7ea9ab66e711e66cd52152a,https://news.yahoo.c...9ab66e711e66cd52152a,https://asahi.5ch.net/test/read.cgi/newsplus/1764244526/,https://asahi.5ch.ne...newsplus/1764244526/,41,ID:qn/R9MGv9,,,,,
"垢版
|
0001 ぐれ ★ 2025/11/27(木) 22:30:15.89","※11/27(木) 0:46配信
ロイター

［北京　２６日　ロイター］ - 駐日中国大使館は２６日、中国国民に対し、当面の間日本を訪問しないよう改めて警告した。複数の中国国民がここ数日「いわれのない侮辱や暴行」を受け、負傷したとの報告があったとした。

大使館は中国のソーシャルメディアアカウントで声明を発表し、既に日本に滞在している人々に対し、安全対策を強化するよう勧告した。日本における最近の暴力犯罪の増加を示唆するデータにも言及した。

続きは↓
https://news.yahoo.c...9ab66e711e66cd52152a
※前スレ
中国、日本渡航に再警告　「侮辱や暴行で複数の負傷報告」 [ぐれ★]
https://asahi.5ch.ne...newsplus/1764244526/

1 ぐれ ★ 2025/11/27(木) 20:55:26.97",https://news.yahoo.co.jp/articles/0a4f1e4b96f7fbfcf7ea9ab66e711e66cd52152a,https://news.yahoo.c...9ab66e711e66cd52152a,https://asahi.5ch.net/test/read.cgi/newsplus/1764244526/,https://asahi.5ch.ne...newsplus/1764244526/,41,ID:qn/R9MGv9,,,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/27(木) 22:30:40.38",嘘つきはニダの始まり,,,,,,ID:zH8uyect0,3,,,,
"垢版
|
0003 名無しどんぶらこ 2025/11/27(木) 22:31:19.00","日本人は反省しろ
真実を言われてんだぞ
オールドメディアを信用していいのか？
信用できないと言ってるのは君ら日本人だ！つまりこの情報は真実である",,,,,5,ID:WBQACc5q0(1/6),,,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/27(木) 22:31:33.11","どんどん広がる高市ショック

〈奈良が泣いている…〉高市ショック直撃で地元が“観光崩壊”危機…中国の渡航自粛でインバウンドの半数近くが消失する懸念も
　
集英社オンライン",,,,,,ID:MuhKIG000,1,,,,
"垢版
|
0005 名無しどんぶらこ 2025/11/27(木) 22:31:42.61",もとからウクライナの次はこっちだからな,,,,,,ID:q/uBLbyJ0,,,,,
"垢版
|
0006 名無しどんぶらこ 2025/11/27(木) 22:31:52.07",奈良はキチガイが多くて危険そう,,,,,,ID:eVYV3W6n0,1,,,,
"垢版
|
0007 名無しどんぶらこ 2025/11/27(木) 22:31:54.43",嘘にも程がある,,,,,,ID:UxF0+PxT0,1,,,,
"垢版
|
0008 名無しどんぶらこ 2025/11/27(木) 22:32:07.80",そんな国には来なくていいよ,,,,,,ID:RnoBES3z0,,,,,
"垢版
|
0009 名無しどんぶらこ 2025/11/27(木) 22:32:07.89","国家レベルで嘘つき
南京虐殺も嘘なんだろな",,,,,,ID:YvGA33JM0,1,,,,
"垢版
|
0010 名無しどんぶらこ 2025/11/27(木) 22:32:18.28",今まで敬遠してたけど、京都に行こうかな,,,,,,ID:W7mqXWBQ0,2,,,,
"垢版
|
0011 名無しどんぶらこ 2025/11/27(木) 22:32:23.92","道端でウンコするな！
大声で騒ぐな！",,,,,,ID:wkIpQLsI0,,,,,
"垢版
|
0012 名無しどんぶらこ 2025/11/27(木) 22:32:43.49",クマが出るから来ないほうがいいよ,,,,,,ID:5CuXPwB80,,,,,
"垢版
|
0013 名無しどんぶらこ 2025/11/27(木) 22:32:48.83","嘘つきとは会話が成立しない
話し合いで解決は不可能です",,,,,,ID:Cbiii07q0,,,,,
"垢版
|
0014 名無しどんぶらこ 2025/11/27(木) 22:32:59.44","中国には嘘しかない
無様ね",,,,,,ID:qojke+fj0(1/8),,,,,
"垢版
|
0015 名無しどんぶらこ 2025/11/27(木) 22:33:14.30","おもろ（笑）
朝日新聞のフェイクに対抗してフェイクなんだろうな",,,,,,ID:N/XKwHJJ0(1/2),1,,,,
"垢版
|
0016 名無しどんぶらこ 2025/11/27(木) 22:33:42.57",隙を見せた高市が悪い,,,,,,ID:Gl9HhO/P0,1,,,,
"垢版
|
0017 名無しどんぶらこ 2025/11/27(木) 22:33:54.79","日本は
中国からもアメリカからも警戒される
ならず者国家",,,,,,ID:r9Bnf6Ju0(1/2),1,,,,
"垢版
|
0018 名無しどんぶらこ 2025/11/27(木) 22:33:56.69",そんなぬるい事言ってないで渡航禁止にしてよ,,,,,,ID:dkAtnCEx0,,,,,
"垢版
|
0019 名無しどんぶらこ 2025/11/27(木) 22:33:58.02","もっと警告しろ
日本人は全員中国人の敵だぞ",,,,,,ID:sIpF/zgy0,,,,,
"垢版
|
0020 名無しどんぶらこ 2025/11/27(木) 22:34:21.43",本当に人民の安全を考えるのなら渡航禁止にするべきだろ。,,,,,,ID:Qk9JFJkj0,,,,,
"垢版
|
0021 名無しどんぶらこ 2025/11/27(木) 22:34:27.15",まぁどんどん嘘吐いてもらって無様を晒して貰いましょうw,,,,,,ID:qojke+fj0(2/8),,,,,
"垢版
|
0022 名無しどんぶらこ 2025/11/27(木) 22:34:40.17",中国国民が台湾の件で怒ってるって設定は何処に行ったの？（笑）,,,,,,ID:N/XKwHJJ0(2/2),,,,,
"垢版
|
0023 名無しどんぶらこ 2025/11/27(木) 22:34:42.35",ウクライナ支援をケチって露助を撤退させなかったから予定通りにこっちに来たぞ,,,,,,ID:yizo2RSg0,,,,,
"垢版
|
0024 名無しどんぶらこ 2025/11/27(木) 22:34:42.93",中華ゲームがヤバい,,,,,,ID:lIxXzJSD0,1,,,,
"垢版
|
0025 名無しどんぶらこ 2025/11/27(木) 22:34:47.30",だから何で嫌いな国に来たがるんだよ,,,,,,ID:TqeAgMYK0(1/2),1,,,,
"垢版
|
0026 名無しどんぶらこ 2025/11/27(木) 22:34:48.58","いいぞいいぞもっと言え
というか来させるな",,,,,,ID:PigeN59P0(1/2),,,,,
"垢版
|
0027 名無しどんぶらこ 2025/11/27(木) 22:34:55.57",">>10
貧乏人は来なくていいよ。ぶぶ漬け沢山食べさせられるぞ",,>>10,,,,ID:X8NRpRKc0(1/14),,,,,
"垢版
|
0028 名無しどんぶらこ 2025/11/27(木) 22:34:58.27",高度情報化社会にすぐにバレる願望とかどうかと思う,,,,,,ID:n7ik2Q7c0(1/2),,,,,
"垢版
|
0029 名無しどんぶらこ 2025/11/27(木) 22:35:00.25",侮辱は溢れてるけどなw,,,,,,ID:qtMuJI3k0,,,,,
"垢版
|
0030 名無しどんぶらこ 2025/11/27(木) 22:35:29.95","世界的に大嘘と分かる内容の発信は逆効果だぞ
日本にいる中国人、安全
中国にいる日本人、危険
これ常識",,,,,,ID:icjnvast0,,,,,
"垢版
|
0031 名無しどんぶらこ 2025/11/27(木) 22:35:31.53","日本に行くな
滞在中の中国人は安全策をとれ＝中国に帰国せよ
100万人は多すぎるわな(笑)",,,,,,ID:/+86CisX0(1/2),,,,,
"垢版
|
0032 名無しどんぶらこ 2025/11/27(木) 22:35:31.59",こういうの実際のところ信じてるの？現地の人は　ちょっと笑っちゃうんだけど,,,,,,ID:NuX33u+60,,,,,
"垢版
|
0033 名無しどんぶらこ 2025/11/27(木) 22:35:41.89","頼んでないし
来ないでください",,,,,,ID:fduNI8+G0,,,,,
"垢版
|
0034 名無しどんぶらこ 2025/11/27(木) 22:35:44.94",">>24
日本でスマホゲ規制したらゲーム会社潰れるぞw",,>>24,,,,ID:PQzqOxn30,1,,,,
"垢版
|
0035 名無しどんぶらこ 2025/11/27(木) 22:35:51.13",">>1
現代のナチス中国共産党「発言を撤回しろ！」
立憲民主党「発言を撤回しろ！」
日本共産党「発言を撤回しろ！」

第三次世界大戦を企てる現代のヒトラー習近平に三跪九叩頭の礼をしてしまう売国政党が有るんですけどwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww",,>>1,,,,ID:Itm/d3090,,,,,
"垢版
|
0036 名無しどんぶらこ 2025/11/27(木) 22:35:52.58",さっさと虎の子のレアアースを止めろや、ザコがw,,,,,,ID:gj20ECqD0(1/2),,,,,
"垢版
|
0037 名無しどんぶらこ 2025/11/27(木) 22:36:02.70",鹿「高市はんはよ～やってくれてはる」,,,,,,ID:ZhLZGrWV0,,,,,
"垢版
|
0038 名無しどんぶらこ 2025/11/27(木) 22:36:07.04",国家レベルで高市侮辱してるくせによく言うわな,,,,,,ID:Zkjkjk8U0,,,,,
"垢版
|
0039 名無しどんぶらこ 2025/11/27(木) 22:36:27.30","NHKでも訪日中国人が日本人に襲われていると言っているけど、そんな事件起きたの？
何で報道しないんだ？",,,,,,ID:hlBr7xeX0,,,,,
