threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,threadview_response_body_link href (2),threadview_response_body_link (2),highlight,res_id,js-response,js-ng-setting href,js-response href,threadview_response_body_embedlink href,threadview_response_body_thumbnail src,threadview_response_body_link (3)
"垢版
|
0001 バイト歴50年 ★ 2025/11/27(木) 22:55:39.82","野田氏は続けて、石破茂前首相（68）が約4カ月前に自民党に指示をした、企業・団体献金の受け皿となっている政党支部の実態調査の結果について「それ今どうなっていますか？」「いつまでに回答していただけるのか？」などと舌鋒鋭く質問。

すると、高市氏は「支部の調査、7757、とても多い支部です」などといいつつ、「自民党の事務局でしっかりと慎重に調査している」と回答。「いつまでに回答するか」については答えなかった。

野田氏は続けて、石破氏が約束したことであり、公党として引き継がれているはずの実態調査なのに、期限について高市氏が回答しなかったことを追及。「実態も把握できないような政党支部が、企業・団体献金など受け取るべきではない」といい、各党から提出される政治資金規正法改正案を今国会で通したいと表明。「総理の見解を伺いたい」と尋ねた。

それに対し、高市氏は「支部の数そして実情の調査を行っていますが、それを御党にお示しするという約束であるとは思っていません」と、石破氏が約束した調査の結果を公表することを拒否。すると、議場からは「え～」などとヤジが上がった。

そして、ヤジが飛び交うなか高市氏は野田氏にこう持ちかけた。

「まあ、そんなことよりも、ぜひ野田総理、定数の削減やりましょうよ」

この直後に時間切れとなり、野田氏が再び発言する機会はなかったが、議場からヤジは収まらず、波乱のまま終了。

「昨年の衆院選と今年の参院選で自民党が大敗して議席を減らした大きな理由のひとつは『政治とカネ』の問題に国民が納得できていないからでしょう。国民の関心も高く、与野党で協議してきたこの問題を、高市氏は驚いたことに『そんなこと』と切り捨て、議員定数削減に話をすり替えました。https://news.yahoo.c...95542b3988e3fbb7058a
https://i.imgur.com/7lM04CS.jpeg",https://news.yahoo.co.jp/articles/76035aa53a5f9184f31195542b3988e3fbb7058a,https://news.yahoo.c...95542b3988e3fbb7058a,https://i.imgur.com/7lM04CS.jpeg,https://i.imgur.com/7lM04CS.jpeg,38,ID:ccdCf80y9,,,,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/27(木) 22:55:56.64",">>1
物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",,>>1,,,,ID:JoelE1kd0(1/9),2,,,,,
"垢版
|
0003 名無しどんぶらこ 2025/11/27(木) 22:56:32.75",一休さんのとんちみたいだな,,,,,,ID:KXau74Qr0,2,,,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/27(木) 22:56:33.68",約束は必ず守る立派な人なんだ,,,,,,ID:dNFC8gCh0,1,,,,,
"垢版
|
0005 名無しどんぶらこ 2025/11/27(木) 22:56:35.79",つまりやらないということですか？,,,,,,ID:rO7DJnyY0,1,,,,,
"垢版
|
0006 名無しどんぶらこ 2025/11/27(木) 22:57:00.14",これこそパヨクとバカマスゴミ以外はどうでもいい話,,,,,,ID:faVxQwpM0(1/43),,,,,,
"垢版
|
0007 名無しどんぶらこ 2025/11/27(木) 22:57:03.81",まあ全員だろうしな,,,,,,ID:mOUubWra0,,,,,,
"垢版
|
0008 名無しどんぶらこ 2025/11/27(木) 22:57:31.86",まぁそれはそう,,,,,,ID:ZOgz25qq0,,,,,,
"垢版
|
0009 名無しどんぶらこ 2025/11/27(木) 22:57:46.83","2025.11.10
高市首相「NHK党とは組んでいない」 自民は立花党首逮捕のN党参院議員と会派結成 ★3
https://asahi.5ch.ne.../newsplus/1762830591

　↑
超絶嘘吐き（=反日主義者=スパイ朝鮮人/親中派ただの左翼=サイコパス）そうかトーイツ朝鮮（同和）N国玉木前原元彦橋下維新ミン酢百田青山三橋ベクレ宗幣朝鮮外人参政党婆あ",https://asahi.5ch.net/test/read.cgi/newsplus/1762830591,https://asahi.5ch.ne.../newsplus/1762830591,,,,ID:FG5v4JE10(1/4),,,,,,
"垢版
|
0010 名無しどんぶらこ 2025/11/27(木) 22:57:56.96","ハニトラの調査もして
ハニトラあること認めてんだから",,,,,,ID:iSbH3MsJ0,1,,,,,
