threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,res_id,js-response,js-ng-setting href,js-response href,threadview_response_body_link (2),threadview_response_body_thumbnail src,threadview_response_body_link href (2)
"垢版
|
0001 BFU ★ 2025/11/27(木) 23:04:26.56","「日本側は戦争犯罪を徹底的に悔い改め、憲法改正や軍備増強といった危険な試みを直ちに放棄するよう強く求める」と、中国国防省報道官は2025年11月27日の定例記者会見で述べた。

日本政府が国産のパトリオット地対空ミサイルを米国に売却したと報じられた。これは、日本が武器輸出規制を緩和して以来、初の殺傷兵器の輸出となった。また、自民党は非核三原則の見直しや国防費の増額を含む安全保障三原則の見直しに関する議論を開始した。

中国国防省報道官の蒋斌上級大佐は、上記の報道についてコメントし、日本が第二次世界大戦で敗戦国であったことは揺るぎない事実であると指摘した。カイロ宣言、ポツダム宣言、日本の降伏文書といった国際条約や文書は、日本の再軍備を明確に禁じている。

彼はさらに、日本が平和憲法の制約を破ろうとする修正主義的な試みに対し、国際社会は厳重な警戒を強いられるべきだと述べた。日本は、大胆にも軍備を増強し、防衛費を大幅に増額し、安全保障政策の見直しを急ぎ、武器輸出規制を緩和し、非核三原則を撤回しようとしている。日本は台湾問題への軍事介入さえも試みている。これらの動きは、地域の平和と安定に対する深刻な脅威となっている。

彼は、今年は中国人民の抗日戦争と世界反ファシズム戦争の勝利80周年に当たると指摘した。世界中の人々、特に中国をはじめとするアジアの被害を受けた国々は、日本のファシストがもたらした惨劇を決して忘れないだろう。日本の軍国主義の亡霊が再び世界を脅かすことを決して許してはならない。

「日本側に対し、戦争犯罪を徹底的に悔い改め、憲法改正と軍備増強という危険な試みを直ちに放棄するよう強く求める。侵略と拡張という悪の道を再び歩み、第二次世界大戦後の国際秩序を揺るがすいかなる試みも、決して成功しないだろう」と報道官は締めくくった。


（原文）
“We urge the Japanese side to fully repent its war crimes and immediately abandon dangerous attempts in Constitutional revision and military build-up,” said a Chinese defense spokesperson at a regular press conference of China’s Ministry of National Defense on November 27, 2025.

It was reported that the Japanese government sold its domestically produced Patriot air-defense missiles to the US. It was the first export of deadly weapons since Japan relaxed controls on its arms export. Besides, the Liberal Democratic Party of Japan has started discussions on revising its three security documents, including the revision of its three non-nuclear principles and increasing its defense spending.

When commenting on the above reports, Chinese Defense Spokesperson Senior Colonel Jiang Bin pointed out that it is an ironclad fact that Japan was a defeated country in WWII. International treaties and instruments such as the Cairo Declaration, the Potsdam Proclamation, and the Japanese Instrument of Surrender, explicitly ban Japan from rearmament.

He added that the international community must be on high alert against Japan's revisionist attempts to break away from the restraints of its pacifist Constitution by brazenly expanding its military build-up, drastically increasing its defense budget, expediting the revision of its security policies, relaxing restrictions on weapons export, and attempting to revoke the three non-nuclear principles. It is even attempting to intervene militarily on the Taiwan question. These moves pose serious threats to regional peace and stability.

He noted that this year marks the 80th anniversary of the victory of the Chinese People’s War of Resistance against Japanese Aggression and the World Anti-Fascist War. People around the world, especially those from China and other victimized countries in Asia, will never forget the catastrophe brought by the Japanese Fascists. The specter of Japanese militarism must never be allowed to haunt the world again.

“We urge the Japanese side to fully repent its war crimes and immediately abandon dangerous attempts in Constitutional revision and military build-up. Any attempt to repeat the evil path of aggression and expansion and undermine the post-WWII international order will not succeed,” concluded the spokesperson.

https://x.com/ChinaM...bKhWVe2cYvSk5uw&s=19",https://x.com/ChinaMilBugle/status/1993966099327566113?t=83KbZzUbKhWVe2cYvSk5uw&s=19,https://x.com/ChinaM...bKhWVe2cYvSk5uw&s=19,ID:LHAF4XQ59,,,,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/27(木) 23:05:12.05","トランプの説教が効いてるね

高市首相、「大変心を痛めている」　香港高層マンション火災受け",,,ID:MuhKIG000,,,,,,
"垢版
|
0003 名無しどんぶらこ 2025/11/27(木) 23:05:36.31","内政干渉だろw
ホント自分の国内のやり方が国外でも通じると思う所がロシアと変わらん",,,ID:0j7BU+PB0(1/2),4,,,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/27(木) 23:05:37.55",内政干渉だバカが,,,ID:51SXzHxS0,,,,,,
"垢版
|
0005 名無しどんぶらこ 2025/11/27(木) 23:05:45.97","ガチ詳しい人に聞きたいんだけど、
北斗の拳に例えると今どの辺？",,,ID:9EL/qaOR0,1,,,,,
"垢版
|
0006 名無しどんぶらこ 2025/11/27(木) 23:05:46.25",天安門！天安門！,,,ID:Cbiii07q0,,,,,,
"垢版
|
0007 名無しどんぶらこ 2025/11/27(木) 23:05:49.06",散々ODAで育てた結果がこれだよ,,,ID:PDjCmjfE0,1,,,,,
"垢版
|
0008 名無しどんぶらこ 2025/11/27(木) 23:06:33.61",軍靴の音はそちらからするんですけど,,,ID:dZ+tmwP70,,,,,,
"垢版
|
0009 名無しどんぶらこ 2025/11/27(木) 23:06:51.74",">>1
お前らは正しいことをやったことが歴史上あるのかよっと",,>>1,ID:X2JQpkly0,,,,,,
"垢版
|
0010 名無しどんぶらこ 2025/11/27(木) 23:06:58.31",もう放置でいいじゃん,,,ID:BpCJDoqZ0,,,,,,
