threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,threadview_response_body_link href (2),threadview_response_body_link (2),highlight,res_id,threadview_response_body_embedlink href,threadview_response_body_thumbnail src,js-response,js-ng-setting href,js-response href
"垢版
|
0001 蚤の市 ★ 2025/11/27(木) 23:37:23.63","トランプ米大統領が高市早苗首相との25日の電話会談で、日中両国の対立に懸念を示していたことが分かった。トランプ氏は対立のエスカレートを避けるよう要請。安定した日中関係を維持する重要性に言及した。日本政府関係者が27日明らかにした。台湾有事は存立危機事態になり得るとした首相の国会答弁をきっかけとした日中関係悪化に米国が注文を付けた形だ。

　日中対立が、2国間にとどまらず米国を巻き込む外交問題に発展した格好。トランプ氏は対中貿易交渉を重視し、日中の緊張が米中関係に波及する展開を警戒しているとみられる。首相は、中国側が求める答弁撤回に応じない姿勢を示しており、沈静化の道筋は見えていない。

　日米電話首脳会談は米側が呼びかけ、約20分間行われた。関係者によると、トランプ氏は日中関係に触れ「マネージ（管理）する必要性」に言及した。首相に対し国会答弁の撤回は求めなかった。

　トランプ氏は日米電話首脳会談の前に、中国の習近平国家主席と約1時間にわたり電話会談し、半分を台湾問題に費やして協議した。


2025年11月27日 21時01分共同通信
https://www.47news.jp/13516843.html
※関連スレ
【台湾有事】トランプ氏　電話会談で高市総理に発言抑制を要求か　米メディア報道… ★11 [BFU★]
https://asahi.5ch.ne...newsplus/1764246882/",https://www.47news.jp/13516843.html,https://www.47news.jp/13516843.html,https://asahi.5ch.net/test/read.cgi/newsplus/1764246882/,https://asahi.5ch.ne...newsplus/1764246882/,28,ID:PpalVlUv9,,,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/27(木) 23:38:02.78",,https://m.youtube.com/watch?v=2fng0Q_b7Pw&list=PLU8XCsqyASJVtLhsJ8ajr3a8hbK0MbpKS&index=32&pp=iAQB,https://m.youtube.co...pKS&index=32&pp=iAQB,,,,ID:TW00Kh8P0,https://m.youtube.com/watch?v=2fng0Q_b7Pw&list=PLU8XCsqyASJVtLhsJ8ajr3a8hbK0MbpKS&index=32&pp=iAQB,https://i.ytimg.com/vi/2fng0Q_b7Pw/default.jpg,2,,
"垢版
|
0003 名無しどんぶらこ 2025/11/27(木) 23:38:12.76",ノーベル平和賞,,,,,,ID:wx3xw2fU0,,,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/27(木) 23:38:51.59",やっぱりトランプに怒られてた高市ワロタw,,,,,,ID:y1iAqXdU0,,,2,,
"垢版
|
0005 名無しどんぶらこ 2025/11/27(木) 23:39:04.11",やっぱり咎めてたんだ,,,,,,ID:pYxba1vR0,,,,,
"垢版
|
0006 名無しどんぶらこ 2025/11/27(木) 23:39:23.78",高市と比べたらトランプが健常者に思える,,,,,,ID:CynJgT3z0,,,3,,
"垢版
|
0007 名無しどんぶらこ 2025/11/27(木) 23:39:24.46","【速報】 トランプ米大統領が高市首相に、台湾巡り助言したという報道は事実ではない　日本政府が否定 ★3
https://asahi.5ch.ne...newsplus/1764244319/",https://asahi.5ch.net/test/read.cgi/newsplus/1764244319/,https://asahi.5ch.ne...newsplus/1764244319/,,,,ID:FeSjd/H80(1/2),,,3,,
"垢版
|
0008 名無しどんぶらこ 2025/11/27(木) 23:39:34.61",">>1
ああ、既に、中国共産党が日本に白旗掲げて、
習近平が土下座してたのかw🤣🤣🤣",,>>1,,,,ID:rCgfHCXt0,,,,,
"垢版
|
0009 名無しどんぶらこ 2025/11/27(木) 23:39:37.16",存在しない日本政府関係者,,,,,,ID:EBGyS5Oq0(1/4),,,,,
"垢版
|
0010 名無しどんぶらこ 2025/11/27(木) 23:39:41.85",広島原爆は天罰,,,,,,ID:AQfcoZz40,,,1,,
"垢版
|
0011 名無しどんぶらこ 2025/11/27(木) 23:40:14.29",官房長官ウソついてんじゃん,,,,,,ID:MuhKIG000,,,2,,
"垢版
|
0012 名無しどんぶらこ 2025/11/27(木) 23:40:23.85","【速報】 米大統領が台湾問題で高市首相に中国挑発しないよう助言との事実ない＝日米首脳会談巡り官房長官(ロイター) ★2
https://asahi.5ch.ne...newsplus/1764240024/",https://asahi.5ch.net/test/read.cgi/newsplus/1764240024/,https://asahi.5ch.ne...newsplus/1764240024/,,,,ID:FeSjd/H80(2/2),,,1,,
"垢版
|
0013 名無しどんぶらこ 2025/11/27(木) 23:40:27.12","何もないわけないんだよな
タイミング見たって明らかなんだし",,,,,,ID:66Eunr7l0,,,,,
"垢版
|
0014 名無しどんぶらこ 2025/11/27(木) 23:41:35.53","これはその通りだ。
米中が物理的軍事的に決して事を起こさないことが重要であるように
同時にまた日本も同じだからだ。",,,,,,ID:IaiYvM+S0,,,1,,
"垢版
|
0015 名無しどんぶらこ 2025/11/27(木) 23:41:52.58",">>1
物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",,>>1,,,,ID:JoelE1kd0(1/3),,,1,,
"垢版
|
0016 名無しどんぶらこ 2025/11/27(木) 23:42:33.52",もう無理,,,,,,ID:ha/XcyLg0,,,,,
"垢版
|
0017 名無しどんぶらこ 2025/11/27(木) 23:42:57.65","これまでも別に何もしてないし
これからも何もしないだけ",,,,,,ID:mUeMpjMx0,,,1,,
"垢版
|
0018 名無しどんぶらこ 2025/11/27(木) 23:43:02.92",共同通信アルｗｗｗｗｗｗｗｗｗ,,,,,,ID:yGWJjSDA0,,,,,
"垢版
|
0019 名無しどんぶらこ 2025/11/27(木) 23:43:14.22",キンペーがトランプに泣きついたかwww,,,,,,ID:Du2MqIMI0,,,1,,
"垢版
|
0020 捏造WSJ.共同 2025/11/27(木) 23:44:38.73","捏造です、　
共同は

ホタテの輸入禁止と

デマを飛ばし

中国に規制事実化をさせました

停波へ",,,,,,ID:MfQtnGd50(1/2),,,1,,
"垢版
|
0021 捏造WSJ.共同 2025/11/27(木) 23:45:16.30","習近平が泣き寝入り

台湾は内政問題から
国際問題にしたのは
自業自得な

バイバイ

【速報】 トランプ米大統領が高市首相に、台湾巡り助言したという報道は事実ではない　日本政府が否定 ★3 [お断り★]
https://asahi.5ch.ne...newsplus/1764244319/",https://asahi.5ch.net/test/read.cgi/newsplus/1764244319/,https://asahi.5ch.ne...newsplus/1764244319/,,,,ID:MfQtnGd50(2/2),,,1,,
"垢版
|
0022 名無しどんぶらこ 2025/11/27(木) 23:45:55.52","国内機関も国外機関もニュースに出てるのに信じられないやつは一体何を信じるのだろうか
大本営だけを盲信する感じ？",,,,,,ID:riocuvU80(1/2),,,3,,
"垢版
|
0023 名無しどんぶらこ 2025/11/27(木) 23:45:55.67","国内ではイキりパフォーマンス続けて日本国民騙そうとしてるのねｗ
さすが朝鮮カルト総理",,,,,,ID:bA2rYw770,,,1,,
"垢版
|
0024 名無しどんぶらこ 2025/11/27(木) 23:46:47.58","ソースが共同通信でオールドメディアだし。
日本政府は言われてないと言ってる",,,,,,ID:rdNDpMaJ0,,,3,,
"垢版
|
0025 名無しどんぶらこ 2025/11/27(木) 23:47:04.94","WSJ以外も報道しまくりだが
ネトウヨさんはどう屁理屈こねるかな?ｗ",,,,,,ID:ukz8E1tU0(1/3),,,,,
"垢版
|
0026 名無しどんぶらこ 2025/11/27(木) 23:47:54.45",">>1
”高市首相は「（台湾有事が）戦艦を使って、武力の行使を伴うものであれば、これは“どう考えても”存立危機事態になりうるケース」と答弁した。“
news.yahoo.co.jp/articles/45d9f145585e051b1d620c815694deb1a83a68c1

高市さんはいままでの首相のようにちゃんと主語をぼやかして回答していて明言は避けていたんだよね。

岡田さんが台湾だと言っただけで。

「支持率下げてやる」ために台湾と絡めてしつこく質問した岡田さんと

「支持率下げてやる」ために岡田さんの台湾発言を高市さんの言葉に加えたマスコミが

このただの国会質疑を国際問題化させただけだよ？",,>>1,,,,ID:J/gJ9Ml80,,,,,
"垢版
|
0027 名無しどんぶらこ 2025/11/27(木) 23:47:56.64",でも、武器は売ります。,,,,,,ID:J+A5icjK0,,,,,
"垢版
|
0028 名無しどんぶらこ 2025/11/27(木) 23:47:58.64","いやおまえ最高の総理になるって言ってたろ？
人を見抜く力を付けろやトランプさんよおw",,,,,,ID:5NUmt4DB0,,,,,
"垢版
|
0029 名無しどんぶらこ 2025/11/27(木) 23:48:00.08","共同通信と謎の政府関係者
怪しすぎる",,,,,,ID:DZPLD95X0,,,,,
"垢版
|
0030 名無しどんぶらこ 2025/11/27(木) 23:48:07.20","ネトウヨ…どうすんのこれ
日本政府内にも中国人がいるのかい？",,,,,,ID:vlPRMYM40,,,,,
"垢版
|
0031 名無しどんぶらこ 2025/11/27(木) 23:48:15.61","要請されたぞ
おーお
エライコッチャ",,,,,,ID:JoelE1kd0(2/3),,,,,
"垢版
|
0032 名無しどんぶらこ 2025/11/27(木) 23:48:29.15",高市氏にはスパイ防止法制定を期待している,,,,,,ID:plMOYRBN0,,,,,
"垢版
|
0033 名無しどんぶらこ 2025/11/27(木) 23:48:29.99","トランプがまともな人に見えてしまう
日本大丈夫か？",,,,,,ID:tVVoECkJ0,,,,,
"垢版
|
0034 名無しどんぶらこ 2025/11/27(木) 23:48:30.98","支持率の高さに気が緩んであの失言をしたのだろう
トランプはちょっと強く言った方がいい
トランプに注意してもらうことを期待するなんて情けない限りだが・・・",,,,,,ID:yxyWbYRc0,,,,,
"垢版
|
0035 名無しどんぶらこ 2025/11/27(木) 23:48:44.31",そもそも中国が勝手にキレてるだけで最初からなにもしてないからな日本は,,,,,,ID:lgMyv5vh0(1/2),,,,,
"垢版
|
0036 名無しどんぶらこ 2025/11/27(木) 23:49:12.16",中国一緒にエスカレートさせてるマスコミに言えとしか,,,,,,ID:4BmeE1qE0,,,,,
"垢版
|
0037 名無しどんぶらこ 2025/11/27(木) 23:49:21.86",キンペー言ったんだろ,,,,,,ID:eC9WvNiD0,,,,,
"垢版
|
0038 名無しどんぶらこ 2025/11/27(木) 23:49:49.48",共・同・通・信,,,,,,ID:zr7QNr/m0,,,1,,
"垢版
|
0039 名無しどんぶらこ 2025/11/27(木) 23:50:00.27",ネトウヨ逝ったあああああああああ,,,,,,ID:rY53Mi5Z0,,,,,
"垢版
|
0040 名無しどんぶらこ 2025/11/27(木) 23:50:07.43",">>11
報道の方が嘘
という発想はないんだ？
www",,>>11,,,,ID:EBGyS5Oq0(2/4),,,1,,
"垢版
|
0041 名無しどんぶらこ 2025/11/27(木) 23:50:09.05","そもそも、なぜ今このタイミングでアメリカから電話が掛かってきたか
考えればわかることだよね",,,,,,ID:2wjczv/D0,,,,,
"垢版
|
0042 名無しどんぶらこ 2025/11/27(木) 23:50:15.78",">>1
やっぱり怒られてるんかい！w",,>>1,,,,ID:GKoOTI8P0,,,,,
"垢版
|
0043 名無しどんぶらこ 2025/11/27(木) 23:50:23.98","さぁ、どうする、高市応援派w

保守だからって全てを肯定してるようでは真の保守とは言えない。保守というのは厳しいんだぞ。ま、高市はエセだがw",,,,,,ID:JoelE1kd0(3/3),,,,,
"垢版
|
0044 名無しどんぶらこ 2025/11/27(木) 23:50:34.01",">>24
WSJもロイターも朝日も共同も日経etc全てが嘘つきのオールドメディアだと言うのですか？
本当にどうしようもないですね
何なら信じられるんですか",,>>24,,,6,ID:riocuvU80(2/2),,,,,
"垢版
|
0045 名無しどんぶらこ 2025/11/27(木) 23:51:05.46",">>40
報道は日米両方から出てるからなぁ",,>>40,,,,ID:S+eR5Pkm0,,,1,,
"垢版
|
0046 名無しどんぶらこ 2025/11/27(木) 23:51:34.57",もうええでしょう,,,,,,ID:GDGsjm/w0,,,,,
"垢版
|
0047 名無しどんぶらこ 2025/11/27(木) 23:51:46.31",">>1
現代のナチス中国共産党「発言を撤回しろ！」
立憲民主党「発言を撤回しろ！」
日本共産党「発言を撤回しろ！」

第三次世界大戦を企てる現代のヒトラー習近平に三跪九叩頭の礼をしてしまう売国政党が有るんですけどwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww",,>>1,,,,ID:Itm/d3090,,,,,
"垢版
|
0048 名無しどんぶらこ 2025/11/27(木) 23:51:52.05","TACO大統領に叱られて口答えしたらあかんよ、早苗ちゃん

【外交】米紙によると日本側は「発言を完全に撤回することは難しい」と米側に説明（WSJ）★２ [１ゲットロボ★]
http://asahi.5ch.net...newsplus/1764221752/",http://asahi.5ch.net/test/read.cgi/newsplus/1764221752/,http://asahi.5ch.net...newsplus/1764221752/,,,,ID:GAXJtUP50,,,1,,
"垢版
|
0049 名無しどんぶらこ 2025/11/27(木) 23:51:53.46",">>44
ニューメディアって立花隆とか？",,>>44,,,,ID:2UA3iadl0,,,,,
"垢版
|
0050 名無しどんぶらこ 2025/11/27(木) 23:52:09.06","WSJ嘘呼ばわりしてた内閣やべーよ
デマ発信機内閣やん",,,,,,ID:lJ36tTj+0,,,,,
"垢版
|
0051 名無しどんぶらこ 2025/11/27(木) 23:52:37.81","明日以降もいろんな所から報じられそうだなｗ
つか普通に考えたらWSJ以外からも出るのわかりそうなもんだが
バカウヨには無理だったかｗ",,,,,,ID:ukz8E1tU0(2/3),,,,,
"垢版
|
0052 名無しどんぶらこ 2025/11/27(木) 23:52:46.92",勝手に戦争始められたらそりゃ迷惑だもんな,,,,,,ID:qvV2ZKSH0,,,,,
