threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,threadview_response_body_link href (2),threadview_response_body_link (2),threadview_response_body_link (3),js-response href,highlight,res_id,js-response
"垢版
|
0001 蚤の市 ★ 2025/11/28(金) 06:20:05.36","トランプ米大統領が高市早苗首相との25日の電話会談で、日中両国の対立に懸念を示していたことが分かった。トランプ氏は対立のエスカレートを避けるよう要請。安定した日中関係を維持する重要性に言及した。日本政府関係者が27日明らかにした。台湾有事は存立危機事態になり得るとした首相の国会答弁をきっかけとした日中関係悪化に米国が注文を付けた形だ。

　日中対立が、2国間にとどまらず米国を巻き込む外交問題に発展した格好。トランプ氏は対中貿易交渉を重視し、日中の緊張が米中関係に波及する展開を警戒しているとみられる。首相は、中国側が求める答弁撤回に応じない姿勢を示しており、沈静化の道筋は見えていない。

　日米電話首脳会談は米側が呼びかけ、約20分間行われた。関係者によると、トランプ氏は日中関係に触れ「マネージ（管理）する必要性」に言及した。首相に対し国会答弁の撤回は求めなかった。

　トランプ氏は日米電話首脳会談の前に、中国の習近平国家主席と約1時間にわたり電話会談し、半分を台湾問題に費やして協議した。


2025年11月27日 21時01分共同通信
https://www.47news.jp/13516843.html
★1　2025/11/27(木) 23:37:23.63
※関連スレ
【台湾有事】トランプ氏　電話会談で高市総理に発言抑制を要求か　米メディア報道… ★11 [BFU★]←完走
https://asahi.5ch.ne...newsplus/1764246882/
※前スレ
http://asahi.5ch.net...newsplus/1764254243/",https://www.47news.jp/13516843.html,https://www.47news.jp/13516843.html,https://asahi.5ch.net/test/read.cgi/newsplus/1764246882/,https://asahi.5ch.ne...newsplus/1764246882/,http://asahi.5ch.net...newsplus/1764254243/,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,25,ID:p/Rnvq/p9,
"垢版
|
0002 名無しどんぶらこ 2025/11/28(金) 06:20:23.80",聖おまんこ女学院,,,,,,,,ID:+DaYeieA0(1/2),
"垢版
|
0003 名無しどんぶらこ 2025/11/28(金) 06:20:37.42",決まった！！,,,,,,,,ID:+DaYeieA0(2/2),
"垢版
|
0004 名無しどんぶらこ 2025/11/28(金) 06:21:37.93","なんで米国が内政干渉してくるんだ？
植民地だからか？",,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:I5esHWBV0,3
"垢版
|
0005 名無しどんぶらこ 2025/11/28(金) 06:21:48.44",">>1
物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",,>>1,,,,,,ID:53V5K/340,
"垢版
|
0006 名無しどんぶらこ 2025/11/28(金) 06:21:59.23","このままだと日中戦争だもんなぁ
日本の大都市は焼け野原",,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:6sEwmgAo0,3
"垢版
|
0007 名無しどんぶらこ 2025/11/28(金) 06:22:18.73",日本政府関係者「WSJにそう書いてあった」,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:2xLwPTw10(1/19),1
"垢版
|
0008 名無しどんぶらこ 2025/11/28(金) 06:22:28.00",日本政府関係者(立民)じゃないだろうな,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:LfhF43AZ0,2
"垢版
|
0009 名無しどんぶらこ 2025/11/28(金) 06:22:33.44",これはノーベル平和賞,,,,,,,,ID:RBAQeBC50,
"垢版
|
0010 名無しどんぶらこ 2025/11/28(金) 06:22:37.91","アメリカへの根回しを
怠った高市の負け臭いなあ",,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:uxfkxyuR0(1/9),3
"垢版
|
0011 名無しどんぶらこ 2025/11/28(金) 06:22:40.89",サヨク共同通信のニュース信じるとかアホかな？,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:f93lAsEr0(1/5),1
"垢版
|
0012 名無しどんぶらこ 2025/11/28(金) 06:22:41.27",それって貴方の願望ですよね,,,,,,,,ID:48mLzjN70(1/4),
"垢版
|
0013 名無しどんぶらこ 2025/11/28(金) 06:22:49.05",">>6
中国が台湾侵攻しなければ何も起きない",,>>6,,,,,,ID:2xLwPTw10(2/19),
"垢版
|
0014 名無しどんぶらこ 2025/11/28(金) 06:23:21.05","発狂してエスカレートしているのが支那畜生だけw
日本国様は特に支那畜生に興味ございません",,,,,,,,ID:cqDVKRJF0,
"垢版
|
0015 名無しどんぶらこ 2025/11/28(金) 06:23:43.24",ダサいピョンピョンおばちゃん,,,,,,,,ID:4x0PVMK20(1/4),
"垢版
|
0016 名無しどんぶらこ 2025/11/28(金) 06:24:05.49","太平洋戦争くらいから
売った喧嘩に負けるスタイルが定着してる",,,,,,,,ID:YFIVUuqK0,
"垢版
|
0017 名無しどんぶらこ 2025/11/28(金) 06:24:16.47",">>10
根回しも何も台湾有事で自衛隊が米軍のサポートするのは既定路線",,>>10,,,,,,ID:2xLwPTw10(3/19),
"垢版
|
0018 名無しどんぶらこ 2025/11/28(金) 06:24:41.60",またガセ？,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:cC4ia3eg0,2
"垢版
|
0019 名無しどんぶらこ 2025/11/28(金) 06:24:56.50",wow wow wow 渚はイマジネーション,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:H5J9OOGl0,1
"垢版
|
0020 名無しどんぶらこ 2025/11/28(金) 06:25:01.84",存立危機事態に触れるのはエスカレーションではない,,,,,,,,ID:RjazLz/q0,
"垢版
|
0021 名無しどんぶらこ 2025/11/28(金) 06:25:11.06","壺市は迷惑おばさん
https://youtu.be/pw40kMJcWw4",https://youtu.be/pw40kMJcWw4,https://youtu.be/pw40kMJcWw4,,,,,,ID:iGR3R3It0,
"垢版
|
0022 名無しどんぶらこ 2025/11/28(金) 06:25:23.19",共同通信アル,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:XCgbd0GT0(1/2),1
"垢版
|
0023 名無しどんぶらこ 2025/11/28(金) 06:25:39.75",日本には三十路過ぎの独身男にC4爆弾80キロを体に巻き付けた自爆要員の戦士がごまんといるから中国はビビってる,,,,,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764278405#,,ID:kZabsgZ20,1
