threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,highlight,res_id,js-response,threadview_response_body_link (2),threadview_response_body_link href (2),js-ng-setting href,js-response href,threadview_response_body_link (4)
"垢版
|
0001 おっさん友の会 ★ 2025/11/28(金) 09:06:36.03","日中関係 国益を守る国会論戦を
「存立危機事態」巡って党首討論で

11月26日に行われた党首討論では「存立危機事態」を巡る高市早苗総理の衆院予算委員会における答弁がテーマになりました。

存立危機事態を巡って政府は25日に「従来の見解を維持し、見直しや再検討は必要としない」等とする答弁書を閣議決定しました。
日本政府の立場は不変であることを繰り返し説明していますが、中国政府は答弁の撤回を求め、事実に反する主張や、根拠不明の発信を繰り返しています。

こうした発信に対しては外務省がSNS等を通じて適切に反論しています。一貫している日本政府の立場が、あたかも変わったかのような主張を国内ですることは、中国を利することにつながります。

立憲民主党の野田佳彦代表は党首討論で「お互いに激しくののしり合うような感情が生まれ、ヒートアップしてきている」と指摘しましたが、中国が一方的に主張していることに対して、このような認識を示すことは、まさに国益を損なうものです。

自民党広報 2025/11/27
https://www.jimin.jp...ormation/211932.html",https://www.jimin.jp/news/information/211932.html,https://www.jimin.jp...ormation/211932.html,24,ID:jZaVICoF9,,,,,,
"垢版
|
0002 名無しどんぶらこ 2025/11/28(金) 09:07:20.77","なら早く発言を撤回しろよ
こんな詭弁外国で通じるわけないだろ",,,,ID:lSTDFCYx0(1/2),3,,,,,
"垢版
|
0003 名無しどんぶらこ 2025/11/28(金) 09:08:03.50",立憲民主党が焚き付け、朝日新聞が放火,,,,ID:TNB53Exd0,4,,,,,
"垢版
|
0004 名無しどんぶらこ 2025/11/28(金) 09:08:47.09",広島原爆が14万人の日帝国民を焼き殺したから日帝は降伏した。日帝はもっとたくさんの米国兵士を惨殺するつもりだった。広島原爆は天罰だ。,,,,ID:CqAwkwzQ0,1,,,,,
"垢版
|
0005 名無しどんぶらこ 2025/11/28(金) 09:09:12.50",">>1
物価高市！m9(^Д^)プギャーｗｗｗ
日銀利上げしろカス",,>>1,,ID:53V5K/340,,,,,,
"垢版
|
0006 名無しどんぶらこ 2025/11/28(金) 09:09:21.26",じゃああの発言だけ撤回して最初から説明すりゃ良くないっすか？,,,,ID:5AAvAlZw0,,,,,,
"垢版
|
0007 名無しどんぶらこ 2025/11/28(金) 09:09:27.87","トランプとホワイトハウスの考え

高市総理の今回の台湾有事に対する答弁は日本にはこれからアジア太平洋地域で安定した安全保障環境を作り出すために一層、安全保障分野での役割を拡大してもらいたいと考える米国にとっては非常に具合が悪い

日本の高市総理による台湾有事についての発言は敵に塩を送るに等しく、「百害あって一利なし」の行為なのだ。

高市総理に対してトランプやホワイトハウスは

高市は個人の信条を日米同盟の将来や日本の国益に優先させる指導者なのか？

そうだとすると、台湾や尖閣諸島で状況が緊迫するようなことがあった場合に、理性的な対応をしてくれることを本当に期待できるのか？

わざと中国を挑発するような行為に走らないといえるのか？」という不信感が湧き上がっている。

「大局的判断よりも自分の思い入れにこだわる指導者を米国は信頼できるのか？

そのような人物がけん引する日本という国との関係を強化することで、米国がリスクを抱え込んでしまう可能性はないのか？」

というわけで、米国の東アジアにおける立ち位置を考慮したうえでの「日本リスク論」が首をもたげているのである。",,,,ID:juhDrryf0,3,,,,,
"垢版
|
0008 名無しどんぶらこ 2025/11/28(金) 09:09:35.65",中共は己の器が小さいことをなんとも思わんのかな？,,,,ID:IlaBdBvS0,1,,,,,
"垢版
|
0009 名無しどんぶらこ 2025/11/28(金) 09:09:41.32","いや閣議決定しましただけじゃ意味ねーだろ
さっさとトップ会談でもやってきちんと説明して終わりにしろよこんなアホくせーこと",,,,ID:3Kyt6oHl0,1,,,,,
"垢版
|
0010 名無しどんぶらこ 2025/11/28(金) 09:09:55.82",高市をまず叱るべきだよね,,,,ID:yoYG52ft0(1/6),,,,,,
"垢版
|
0011 名無しどんぶらこ 2025/11/28(金) 09:10:03.66",">>1
＞立憲民主党の野田佳彦代表は党首討論で「お互いに激しくののしり合うような感情が生まれ、ヒートアップしてきている」と指摘しましたが、中国が一方的に主張していることに対して、このような認識を示すことは、まさに国益を損なうものです。

これなw
中共を特別扱いしたがるパヨク立憲",,>>1,,ID:Cuowwbyd0,1,,,,,
"垢版
|
0012 名無しどんぶらこ 2025/11/28(金) 09:10:11.95",">>3
本当コレ
靖国、慰安婦問題など色んな問題がだいたいコレ
野党が火付けして、オールドメディアが騒いで事を大きくする",,>>3,,ID:3bCGpT//0(1/7),1,,,,,
"垢版
|
0013 名無しどんぶらこ 2025/11/28(金) 09:10:17.48",お前ら国民搾取で自分らが利する事しかしてねえじゃん,,,,ID:nmomRxaF0(1/8),,,,,,
"垢版
|
0014 名無しどんぶらこ 2025/11/28(金) 09:10:22.30","キチガイに隙を見せて絡まれたら終わり
それがわかってるから歴代首相は慎重に言葉を選んで作成された官僚のペーパーを重要視した
それすらわからず私凄いでしょ～をやりたいが為にベラベラと得意げに喋った浅はかさを反省しろ
右派からしたら「戦艦」の言葉を出した時点で失笑もの",,,,ID:9PWxuq2I0,,,,,,
"垢版
|
0015 名無しどんぶらこ 2025/11/28(金) 09:10:38.91","などと中国の大願阻止を表明して中国と敵対しており、
また手の平クルッをやらかしています",,,,ID:UfIeXw7w0(1/7),,,,,,
"垢版
|
0016 名無しどんぶらこ 2025/11/28(金) 09:10:41.34","着々と軍備拡張・侵略戦争の準備してる
中国が被害者ムーヴすんなよと
ロシアも大概だ",,,,ID:9GvMmf/O0,,,,,,
"垢版
|
0017 名無しどんぶらこ 2025/11/28(金) 09:10:43.00","それは無理があるやろw
歴代総理が曖昧にしてきた台湾問題にはっきりと
高市が言及したのは
紛れもない事実",,,,ID:zWeqLqKp0,1,,,,,
"垢版
|
0018 名無しどんぶらこ 2025/11/28(金) 09:10:49.42","野田さんがまさかデマを発信するとはね
世も末だわ",,,,ID:SpFgeD8m0,,,,,,
"垢版
|
0019 名無しどんぶらこ 2025/11/28(金) 09:11:00.45","どういうこと？
岸田、石破内閣と同じ考え方ってこと？
ネトウヨは違うと拡散してるけど？",,,,ID:sPHOvWiE0,,,,,,
"垢版
|
0020 名無しどんぶらこ 2025/11/28(金) 09:11:12.08","権威主義の独裁国家で金儲けをする為に自由主義国家の人間が発言を忖度する

高市批判している奴等は腐った守銭奴よ",,,,ID:GOMF+h2F0,,,,,,
"垢版
|
0021 名無しどんぶらこ 2025/11/28(金) 09:11:12.97","自民党の総裁選や自民党の大物議員などが吹聴してきたことが発端なのに
他党のせいにしててすごい",,,,ID:jlBF3Yqm0,,,,,,
"垢版
|
0022 名無しどんぶらこ 2025/11/28(金) 09:11:15.38",結局騒いでたのってチャイナと日本のマスゴミとパヨっちだけだったな,,,,ID:CD8vGGWp0,,,,,,
"垢版
|
0023 名無しどんぶらこ 2025/11/28(金) 09:12:14.35",朝日新聞の捏造に騙されて引くに引けない中国哀れ,,,,ID:q6XKaMnk0,,,,,,
"垢版
|
0024 名無しどんぶらこ 2025/11/28(金) 09:12:27.14","自民党は中国を仮想敵にしてバカを仲間に引き入れようとするよね
大企業と富裕層しか仲間だと思ってないくせに",,,,ID:yoYG52ft0(2/6),,,,,,
"垢版
|
0025 名無しどんぶらこ 2025/11/28(金) 09:12:32.16",一貫しているはずの日本政府の立場があたかも変わったかのような印象を与えたのは高市だろ,,,,ID:5HRoohjt0(1/2),,,,,,
"垢版
|
0026 名無しどんぶらこ 2025/11/28(金) 09:12:35.35","立憲民主党が焚き付け、朝日新聞が放火そして静かに消火。
TBSも頑張ってます、サンモニ、ひるおび、報道特集、NEWS23
朝から晩までやっています。中国マネーもらったんで。",,,,ID:s1cjEhuk0(1/7),,,,,,
"垢版
|
0027 名無しどんぶらこ 2025/11/28(金) 09:12:37.22",">>9
中国からすると、アメリカの要請あっても日本は参加するな。って確約したいだけだから、それ自体はアメリカが日本の支援いらなけりゃ高市に撤回指示するかと。
そもそも存立危機判断なんて、アメリカの要請を受ける建前でしかないんだから。",,>>9,,ID:t2SepxQG0(1/9),,,,,,
"垢版
|
0028 名無しどんぶらこ 2025/11/28(金) 09:12:53.76",余計なことしなくていいから消費税廃止してよ,,,,ID:yoYG52ft0(3/6),,,,,,
