css-1jxf684,css-1jxf684 (2),css-146c3p1 href,css-146c3p1,css-1jxf684 (4),css-1jxf684 (5),css-1jxf684 (6),css-1jxf684 (7),css-1jxf684 (8),css-175oi2r href (4),css-1jxf684 (9),css-9pa8cd src (2),css-1jxf684 href,css-1jxf684 (10),css-146c3p1 (2),css-1jxf684 (11),css-1jxf684 (12),css-1jxf684 (13),r-4qtqp9 src,r-4qtqp9 src (2),css-9pa8cd src (3),css-1jxf684 href (2),css-146c3p1 href (2),css-175oi2r href (5),css-9pa8cd src (4),css-175oi2r href (6),css-175oi2r href (7),css-9pa8cd src (5),r-4qtqp9 src (3),r-4qtqp9 src (4),css-146c3p1 (3),css-1jxf684 (15),css-1jxf684 (16),css-1jxf684 (17),css-1jxf684 (14),r-4qtqp9 src (5),r-4qtqp9 src (6),css-175oi2r href (8),css-1jxf684 href (3),css-1jxf684 (18),css-1jxf684 (19),css-9pa8cd src (6),css-1jxf684 (20),css-1jxf684 href (4),css-1jxf684 href (5),r-4qtqp9 src (7),r-4qtqp9 src (8),r-4qtqp9 src (9),r-4qtqp9 src (10)
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1993996578684801138,11月27日,"今日、嬉しいニュースが飛び込んできました。
国際民間航空機関（ＩＣＡＯ）トップの理事会議長選挙が行われ、大沼ＩＣＡＯ日本政府代表部大使が選出されました。
これで国連専門機関の長を務める日本人は、万国郵便連合の目時国際事務局長とあわせて2人になります。",显示更多,524,"3,684",4.4万,https://x.com/takaichi_sanae/status/1993996578684801138/analytics,101万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1993995758476169381,4小时,"今朝は、大分と熊本の県知事がそれぞれ上京され、お会いしました。

大分県の佐藤知事は、先週１８日に発生した大分市佐賀関での大規模火災について、自衛隊?国交省?内閣府?消防庁等の国による迅速な支援に対し謝意を述べられました。",显示更多,442,"1,868",2.4万,https://x.com/takaichi_sanae/status/1993995758476169381/analytics,44万,https://pbs.twimg.com/media/G6wYOw2a8AAZDZJ?format=jpg&name=medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1993661296332726279,11月26日,"今日は、 高市内閣発足後初の国家基本政策委員会(党首討論)が開催され、野党党首の皆様と論戦を交わしました。

いかにして、日本列島を強く豊かにしていくか、経済成長を実現していくか。私の考えと決意をお伝えしつつ、ご質問にお答えしました。",显示更多,"2,916","7,787",8.1万,https://x.com/takaichi_sanae/status/1993661296332726279/analytics,135万,https://pbs.twimg.com/media/G6roJIkbYAAMWJv?format=jpg&name=medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1993509924509532211,11月26日,"Ｇ２０の機会にメローニ首相に初めてお会いでき大変うれしく思います。メローニ首相と手を取り合いながら、日本とイタリアの緊密な関係を更に深めていきたいと思います。

Sono stata profondamente lieta di avere l'opportunità di incontrare per la prima volta il Primo Ministro",显示更多,"1,181",1.2万,11万,https://x.com/takaichi_sanae/status/1993509924509532211/analytics,263万,https://pbs.twimg.com/profile_images/1642074709503115265/cdXsdR2V_normal.jpg,https://x.com/GiorgiaMeloni,·,2025/11/23,"Oggi al G20 ho incontrato per la prima volta il Primo Ministro del Giappone,",@takaichi_sanae,".
Un piacere conoscerla e rinnovare lo spirito di amicizia che unisce Italia e Giappone",https://abs-0.twimg.com/emoji/v2/svg/1f1ee-1f1f9.svg,https://abs-0.twimg.com/emoji/v2/svg/1f1ef-1f1f5.svg,https://pbs.twimg.com/media/G6Y2EhKWEAA8ADA?format=jpg&name=medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1993508016550035558,11月26日,"マクロン大統領、私もお会いできてうれしく思います。「特別なパートナー」として、共通する課題に共に取り組み、日仏関係を今後一層飛躍させるため、マクロン大統領と緊密に協力していくことを楽しみにしています。

J'ai été ravie de vous rencontrer de même Monsieur le Président",显示更多,524,"4,901",6.1万,https://x.com/takaichi_sanae/status/1993508016550035558/analytics,113万,https://pbs.twimg.com/profile_images/1550535324501164032/0lTW_4tj_normal.jpg,,·,2025/11/23,"Heureux de vous rencontrer, Madame la Première ministre",@takaichi_sanae,.,https://abs-0.twimg.com/emoji/v2/svg/1f1ef-1f1f5.svg,https://abs-0.twimg.com/emoji/v2/svg/1f1eb-1f1f7.svg,https://pbs.twimg.com/amplify_video_thumb/1992569646046740480/img/NCKkSYrAU0doBPeQ.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安倍昭恵,@akie_official,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小野田紀美@岡山,@onoda_kimi,,,小野田紀美(おのだきみ)日常呟き＆岡山宣伝アカウント。本人だけど非公式。Twitterでは個人的な趣味や日常話も多いのでご注意下さい。 オフィシャルはFBにて。,…,岡山県瀬戸内市邑久町虫明育ち。,,,,,,https://t.co/QEgHLwTyqq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
櫻井よしこ,@YoshikoSakurai,,,ジャーナリスト、国家基本問題研究所（,）キャスター。クリスチャンサイエンスモニター紙?東京支局の助手としてジャーナリズムの仕事を始め、アジア新聞財団DEPTH NEWS記者、東京支局長、NTVニュースキャスターを経て、現在に至る。,）理事長、言論テレビ（,,,,,,https://x.com/JP_jinf,,,,,,,,,https://x.com/GenRonTV,,,,,,,,,,,,,,,,,,,,,,,,,,,
显示更多,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1993501828034723930,11月26日,"モディ?インド首相、南アフリカで初の対面での首脳会談を行うことができ大変うれしく思います。
今後10年の日印共同ビジョンに基づき具体的な協力を進めていくとともに、「自由で開かれたインド太平洋」の実現に向けて緊密に連携していきましょう。

Prime Minister",显示更多,470,"3,484",3.9万,https://x.com/takaichi_sanae/status/1993501828034723930/analytics,98万,https://pbs.twimg.com/profile_images/1833509376528945157/5AeMNn9f_normal.jpg,https://x.com/narendramodi,·,2025/11/23,日本の高市早苗首相と実り多きの会談を行いました。イノベーションや防衛、人材移動といった分野における二国間協力をさらに勢いづける方法について話し合いました。また、両国の交易関係がさらに強化されることを望んでいます。日印関係は、より良い地球環境を構築するために不可欠な要素です。,"ji, it was an",引用,,,https://pbs.twimg.com/media/G6cUkJ8bsAA25M5?format=jpg&name=small,,https://x.com/narendramodi/status/1992584153980891475,https://x.com/narendramodi/status/1992584153980891475/photo/2,https://pbs.twimg.com/media/G6cUlpBa8AAXRQG?format=jpg&name=900x900,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1993263023528554856,11月25日,"本日１８時０１分頃、熊本県阿蘇地方を震源とする地震が発生し、熊本県産山村で最大震度５強の強い揺れを観測しました。
政府は地震発生後、直ちに官邸危機管理センターに官邸連絡室を設置し、被害状況の把握に当たっています。

私からは、
?早急に被害状況を把握すること",显示更多,"1,093","6,051",7.2万,https://x.com/takaichi_sanae/status/1993263023528554856/analytics,302万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1992790746911699449,11月24日,"Ｇ２０サミット会場では、1日目の日英首脳会談に続き２日目も、様々な国や機関の首脳と意見交換を行いました。
初めは日独首脳会談。メルツ首相との間で、安全保障協力や経済安全保障等の幅広い分野での協力を確認しました。",显示更多,"2,758","7,185",6.9万,https://x.com/takaichi_sanae/status/1992790746911699449/analytics,161万,https://pbs.twimg.com/media/G6fPnbaaEAE9RVu?format=jpg&name=small,,,,,,,,,https://pbs.twimg.com/media/G6fPqzxaUAAjdj2?format=jpg&name=small,,,https://x.com/takaichi_sanae/status/1992790746911699449/photo/1,https://pbs.twimg.com/media/G6fPxcxbgAA9yM7?format=jpg&name=small,https://x.com/takaichi_sanae/status/1992790746911699449/photo/3,https://x.com/takaichi_sanae/status/1992790746911699449/photo/4,https://pbs.twimg.com/media/G6fPzyca0AEGXJS?format=jpg&name=small,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1992637710302052832,11月24日,"南アフリカ滞在2日目を迎えました。
昨日に引き続き、Ｇ２０サミットに出席し、重要鉱物やＡＩに関する我が国の取組を紹介しました。
とりわけ重要鉱物の強靱なサプライチェーンの構築には、各国が連携して取り組む必要があります。",显示更多,"1,675","6,054",7.5万,https://x.com/takaichi_sanae/status/1992637710302052832/analytics,164万,https://pbs.twimg.com/media/G6dE1OqaUAAYmQ8?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1992637710302052832/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1992295260362276934,11月23日,今朝５時３０分に南アフリカに到着しました。,显示更多,"2,826",1.4万,17万,https://x.com/takaichi_sanae/status/1992295260362276934/analytics,955万,https://pbs.twimg.com/media/G6X9xu5XYAA0tu7?format=jpg&name=small,,,,,,,,,https://pbs.twimg.com/media/G6YM4fXW4AAS36Q?format=jpg&name=small,,,https://x.com/takaichi_sanae/status/1992295260362276934/photo/1,https://pbs.twimg.com/media/G6YM6EKWkAAU-OO?format=jpg&name=small,https://x.com/takaichi_sanae/status/1992295260362276934/photo/3,https://x.com/takaichi_sanae/status/1992295260362276934/photo/4,https://pbs.twimg.com/media/G6YM9Y8XYAAvhbB?format=jpg&name=small,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1991870188237857106,11月21日,"高市内閣発足から今日で1ヶ月です。
所信表明演説、マレーシアでのASEAN関連首脳会議、トランプ米国大統領の訪日、韓国でのAPEC首脳会議、衆参両院の代表質問、そして予算委員会と、駆け足で走り抜いたこのひと月。",显示更多,"4,785",1.2万,15万,https://x.com/takaichi_sanae/status/1991870188237857106/analytics,487万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1991868827840491586,11月21日,"臨時閣議で総合経済対策を閣議決定し、記者会見の後、南アフリカで開催されるG20ヨハネスブルグ?サミットに向かう道中です。

途中の給油時間を入れると片道21時間を超えますから、サミットのセッションや首脳会談は2日間ですが、足掛け4日間の出張になります。",显示更多,"7,410",2.2万,15万,https://x.com/takaichi_sanae/status/1991868827840491586/analytics,"3,778万",https://pbs.twimg.com/media/G6SJ-4bacAEb0ff?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1991868827840491586/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1991780277321101756,11月21日,"高市内閣発足以来、国民の皆様が直面する「物価高への対策」を最優先に掲げてまいりました。

国民の皆様に迅速に対策の効果をお届けするため、与野党の皆様と協議を重ね、本日、「強い経済を実現する総合経済対策」を政府?与党で決定いたしました。",显示更多,"3,572",1万,9.3万,https://x.com/takaichi_sanae/status/1991780277321101756/analytics,329万,https://pbs.twimg.com/media/G6Q5YGVacAESArD?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1991780277321101756/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1991771498340839845,11月21日,"大分市の火災は本日午前８時時点で、お亡くなりになられた方が1名、負傷された方が１名のほか、約１７０棟の建物の焼損被害が生じ、１１３名の方が避難所に避難されているとの報告を受けています。
昨日、大分市消防局は「住家のある半島部分は『鎮圧』状態」と発表しました。",显示更多,608,"4,367",5.3万,https://x.com/takaichi_sanae/status/1991771498340839845/analytics,198万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1991472701442257257,11月20日,第６５回商工会全国大会に出席し、挨拶をさせていただきました。,显示更多,"1,804","3,182",4.4万,https://x.com/takaichi_sanae/status/1991472701442257257/analytics,133万,https://pbs.twimg.com/media/G6Mhqq3acAE5utP?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1991472701442257257/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1991120278727147849,11月19日,今日は、毎秋の恒例となっている総理大臣への奈良の柿の贈呈式（出身県からの贈呈は、かなり照れ臭かった）、全国町村長大会への出席、東京都知事、鳥取県知事、宮城県知事との面会など、とりわけ地方公共団体の取組や願いに触れる一日となりました。,显示更多,"3,412","9,130",11万,https://x.com/takaichi_sanae/status/1991120278727147849/analytics,330万,https://pbs.twimg.com/media/G6Hge__bkAAspVP?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1991120278727147849/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1990963213853438322,11月19日,"昨日、大分県大分市で火災が発生し、安否不明の方１名がおられるほか、多数の建物が焼損するなど被害が生じています。
政府は情報連絡室を設置し、情報収集に当たるとともに、総務省消防庁が現地に職員を派遣しました。",显示更多,"1,578","8,194",9.8万,https://x.com/takaichi_sanae/status/1990963213853438322/analytics,484万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1990756146840215827,11月18日,"今日は、早朝の「復興推進会議」から一日が始まりました。
東日本大震災からの復興は、被災地の皆様の絶え間ない御努力により着実に進展していますが、地域によっては状況も様々です。
現場主義に徹底したきめ細かな対応により、被災地の復興に全力を尽くしてまいります。",显示更多,"1,798","4,102",5.5万,https://x.com/takaichi_sanae/status/1990756146840215827/analytics,161万,https://pbs.twimg.com/media/G6CV2fpbMAYq79r?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1990756146840215827/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1990405333043544132,11月17日,"経済三団体の代表者の皆様が、官邸を訪問して下さり、意見交換をしました。
高市内閣では、日本の「供給構造」を抜本的に強化し、成長戦略を推進することで、所得を増やし、消費マインドを改善し、事業収益を向上させる「好循環」を実現します。",显示更多,"3,164","5,262",5.7万,https://x.com/takaichi_sanae/status/1990405333043544132/analytics,203万,https://pbs.twimg.com/media/G59WwTbagAE2wsn?format=jpg&name=900x900,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1990405333043544132/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1989975135919759473,11月16日,"昨日の投稿で立党７０周年をご紹介しましたが、皆様は自民党に「党歌」があることを御存知でしょうか。
党大会など会議の際、国歌の次に党歌を斉唱しますが、私も含む多くの方は手話を使って斉唱します。
誰もが参加し、活躍し、その喜びをともに分かち合う。そうした共生社会の実現は大切なことです。",显示更多,"2,846","4,684",5.2万,https://x.com/takaichi_sanae/status/1989975135919759473/analytics,199万,https://pbs.twimg.com/media/G53O2I6bkAAnLuF?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1989975135919759473/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1989694007669395750,11月15日,本日、自由民主党は立党70年を迎えるにあたり、党を代表して声明を出させていただきました。,自民党広報,"3,390","7,094",7.4万,https://x.com/takaichi_sanae/status/1989694007669395750/analytics,344万,https://pbs.twimg.com/profile_images/1935520108417363968/w17jJVbu_normal.jpg,,·,2025/11/15,"【党声明】立党70年にあたって
本日、自由民主党は立党70年を迎えました。",@jimin_koho,引用,,,https://pbs.twimg.com/media/G5uJ3BHacAAvqfX.jpg,,https://x.com/jimin_koho/status/1989486242610995225,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1989692399291871372,11月15日,"今日は自民党の立党記念日です。
昭和３０年１１月１５日、「政治は国民のもの」で始まる立党宣言を掲げ、自民党が産声を上げてから今日で７０年になります。",显示更多,"1,484","2,958",3.7万,https://x.com/takaichi_sanae/status/1989692399291871372/analytics,166万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1989579185401336318,11月15日,"今日１１月１５日は、横田めぐみさんが北朝鮮に拉致されてから４８年になります。
ご本人はもちろん、天国で見守るお父様、そしてお母様、双子の弟様達、ご親族、ご友人の皆様の長年のご心痛を思う時、胸が張り裂けそうになります。",显示更多,"3,116",1.8万,21万,https://x.com/takaichi_sanae/status/1989579185401336318/analytics,"1,119万",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
